movie_name,genre,rating,votes,duration_minutes
The Killer's Game,action,5.8,19950.0,104.0
Art of Eight Limbs,action,4.0,370.0,101.0
Lady Scorpions,action,3.6,393.0,101.0
The Lockdown,action,4.4,663.0,117.0
Young Lion of the West,action,5.4,116.0,93.0
Bureau 749,action,3.8,689.0,123.0
The Mick and the Trick,action,5.0,92.0,96.0
The Fix,action,4.7,2047.0,98.0
Barroz: Guardian of Treasures,action,3.3,1124.0,155.0
Youn'G,action,8.7,52.0,
Mafia Wars,action,3.6,370.0,98.0
Even the Score,action,5.2,19.0,
The Ballad of Davy Crockett,action,4.5,293.0,96.0
Levels,action,5.0,1951.0,93.0
Marine Drive,action,9.4,53.0,105.0
Boneyard,action,4.1,5855.0,96.0
Madame Web,action,4.1,111338.0,116.0
Slasher House 3,action,4.5,80.0,
Sucha Soorma,action,6.4,964.0,136.0
Gold Raiders,action,1.9,215.0,88.0
Joshua: Imai Pol Kaka,action,4.5,595.0,130.0
The Killer,action,5.7,16229.0,126.0
Rebel Ridge,action,6.8,99343.0,131.0
Team of Two,action,4.9,120.0,
Echo 8,action,5.8,1574.0,95.0
Kingdom of the Planet of the Apes,action,6.8,164682.0,145.0
A.R.M,action,7.1,9911.0,150.0
Relay,action,7.0,24062.0,112.0
The Winter Prophecy,action,7.6,16.0,52.0
Anaconda,action,4.9,1006.0,84.0
Devara Part 1,action,6.0,23103.0,176.0
The Unbreakable Bunch,action,6.9,49.0,85.0
Singham Again,action,4.3,75969.0,144.0
Furiosa: A Mad Max Saga,action,7.5,311571.0,148.0
Legend of the White Dragon,action,7.8,51.0,90.0
Twisters,action,6.5,189208.0,122.0
Gunner,action,3.1,3279.0,106.0
The Union,action,5.5,57080.0,107.0
Neo-Dome,action,6.0,28.0,15.0
Obscura,action,3.6,15.0,
Hocus Focus,action,7.9,20.0,85.0
My Redneck Neighbor: Chapter 2 - Let the Games Begin,action,5.4,16.0,55.0
Kalki 2898 AD,action,7.0,74156.0,180.0
My Spy: The Eternal City,action,5.7,11924.0,112.0
Role Play,action,5.5,20149.0,100.0
Hounds of War,action,4.6,2249.0,95.0
Cholo Zombies,action,3.5,145.0,96.0
Gravediggers,action,5.7,47.0,91.0
Alien Country,action,4.6,496.0,96.0
Blood Vendetta,action,7.3,279.0,90.0
Macho Man 3,action,6.2,15.0,
Hitpig,action,5.2,1267.0,86.0
Uglies,action,4.7,35934.0,100.0
Fyre Rises,action,5.9,334.0,110.0
Captain Superb and the Angel of Destiny,action,3.0,16.0,120.0
The Crow,action,4.7,40005.0,111.0
Permafrost,action,4.3,133.0,80.0
American Warrior,action,4.5,159.0,93.0
Damsel,action,6.1,116235.0,110.0
Zero,action,5.3,136.0,88.0
Sathyam,action,7.6,12.0,134.0
Day Labor,action,6.0,112.0,88.0
Fluxx,action,4.4,206.0,100.0
Fight or Flight,action,6.4,23390.0,102.0
Fighter,action,6.2,53738.0,166.0
Under Paris,action,5.2,38782.0,104.0
Yudhra,action,4.9,13892.0,142.0
Arena Wars,action,5.0,3394.0,96.0
Kaalapatthar,action,5.6,1037.0,113.0
Aserb: The Squadron,action,5.2,379.0,120.0
Lift,action,5.6,51587.0,107.0
Bulletproof Jesus,action,4.0,17.0,
Paradox Effect,action,5.9,11215.0,87.0
Soodhu Kavvum 2: Naatum Naatu Makkalum,action,3.8,239.0,129.0
Godzilla x Kong: The New Empire,action,6.0,131107.0,115.0
Guntur Kaaram,action,5.4,25045.0,159.0
Overlord: The Sacred Kingdom,action,6.9,1917.0,135.0
The Brattt,action,4.2,77.0,117.0
Hell City,action,8.5,31.0,90.0
"Love, Courage and the Battle of Bushy Run",action,5.1,224.0,113.0
Mobile Suit Gundam SEED Freedom,action,6.6,1080.0,124.0
Code 8: Part II,action,5.7,16731.0,100.0
The Lord of the Rings: The War of the Rohirrim,action,6.3,37966.0,134.0
Joachim and the Apocalypse,action,6.3,28.0,90.0
Atlas,action,5.6,58712.0,118.0
Red One,action,6.2,156404.0,123.0
The Vampire and the Vigilante,action,3.5,61.0,75.0
Dominique,action,5.3,2697.0,100.0
Opportunity,action,8.9,108.0,96.0
Peter Five Eight,action,3.5,1163.0,100.0
Argylle,action,5.6,97791.0,139.0
Dead Hand,action,4.0,75.0,92.0
Werewolves,action,4.4,9425.0,93.0
Formed Police Unit,action,4.6,1533.0,120.0
Nothing Unusual,action,8.2,17.0,92.0
Sunray: Fallen Soldier,action,4.4,860.0,115.0
Dune: Part Two,action,8.4,705079.0,166.0
Despatch,action,4.4,5121.0,153.0
The Beekeeper,action,6.3,173892.0,105.0
Polar,action,4.5,32.0,76.0
Martin,action,2.2,36468.0,147.0
Reloaded 2,action,6.6,1428.0,45.0
Jacob Tyler,action,4.1,75.0,133.0
Bagheera,action,6.7,8587.0,158.0
Night Curfew,action,8.6,9.0,
Hanu Man,action,7.7,30184.0,158.0
Virunnu,action,3.9,967.0,125.0
Krishnamma,action,6.1,383.0,138.0
We the People,action,7.7,10.0,
Ugravatara,action,8.4,2092.0,122.0
Babu,action,6.9,194.0,142.0
Hope & Glory,action,6.5,156.0,44.0
Kill Craft,action,2.4,392.0,99.0
Paradise,action,6.6,93.0,83.0
The Last Stand of Ellen Cole,action,6.5,173.0,97.0
Wanted Man,action,4.8,2971.0,85.0
Blitz,action,6.2,18164.0,120.0
Spotlight International Film Festival: Best of the Festival - Volume 1,action,8.2,13.0,
Yodha,action,5.7,9195.0,130.0
Tatkshan,action,8.4,22.0,
