movie_name,genre,rating,votes,duration_minutes
Bureau 749,adventure,3.8,689.0,123.0
Barroz: Guardian of Treasures,adventure,3.3,1124.0,155.0
Elli and Her Monster Team,adventure,4.9,139.0,86.0
Thelma the Unicorn,adventure,5.7,3263.0,93.0
Tipppsy,adventure,8.1,35.0,115.0
Si Juki the Movie: Harta Pulau Monyet,adventure,6.3,156.0,107.0
Sunnyfield Kids,adventure,8.5,7.0,
Arthur the King,adventure,7.0,37702.0,107.0
Vertical,adventure,4.9,166.0,111.0
Spaceman,adventure,5.7,45965.0,107.0
Game On,adventure,2.5,374.0,85.0
Dandelion,adventure,8.9,10.0,95.0
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,adventure,5.4,16.0,74.0
Kingdom of the Planet of the Apes,adventure,6.8,164682.0,145.0
Winner,adventure,6.5,3189.0,103.0
A.R.M,adventure,7.1,9911.0,150.0
Anaconda,adventure,4.9,1006.0,84.0
Devara Part 1,adventure,6.0,23103.0,176.0
The Star City Murders,adventure,4.0,162.0,79.0
Finding Christmas,adventure,6.5,28.0,
Furiosa: A Mad Max Saga,adventure,7.5,311571.0,148.0
Elephant Steps,adventure,6.9,40.0,
Legend of the White Dragon,adventure,7.8,51.0,90.0
Twisters,adventure,6.5,189208.0,122.0
Gunner,adventure,3.1,3279.0,106.0
Man and Witch: The Dance of a Thousand Steps,adventure,5.6,381.0,94.0
My Redneck Neighbor: Chapter 2 - Let the Games Begin,adventure,5.4,16.0,55.0
Kalki 2898 AD,adventure,7.0,74156.0,180.0
A Trip Elsewhere,adventure,4.5,198.0,93.0
Satu - Year of the Rabbit,adventure,9.0,62.0,93.0
Hitpig,adventure,5.2,1267.0,86.0
Mufasa: The Lion King,adventure,6.6,79542.0,118.0
Uglies,adventure,4.7,35934.0,100.0
Permafrost,adventure,4.3,133.0,80.0
Damsel,adventure,6.1,116235.0,110.0
Rocky Road to Berlin,adventure,7.2,1654.0,104.0
Panda Bear in Africa,adventure,5.5,424.0,84.0
Moana 2,adventure,6.3,120500.0,100.0
The Phantom Warrior,adventure,2.3,582.0,119.0
The Great Lillian Hall,adventure,7.3,2366.0,110.0
Godzilla x Kong: The New Empire,adventure,6.0,131107.0,115.0
Overlord: The Sacred Kingdom,adventure,6.9,1917.0,135.0
Birds Flying East,adventure,5.8,633.0,100.0
Mobile Suit Gundam SEED Freedom,adventure,6.6,1080.0,124.0
Niko: Beyond the Northern Lights,adventure,6.1,448.0,86.0
The Lord of the Rings: The War of the Rohirrim,adventure,6.3,37966.0,134.0
Joachim and the Apocalypse,adventure,6.3,28.0,90.0
That Christmas,adventure,6.8,20086.0,91.0
Atlas,adventure,5.6,58712.0,118.0
Orango,adventure,7.2,76.0,94.0
Red One,adventure,6.2,156404.0,123.0
All for One,adventure,1.5,724.0,97.0
Rally Caps,adventure,5.3,177.0,100.0
Formed Police Unit,adventure,4.6,1533.0,120.0
Nothing Unusual,adventure,8.2,17.0,92.0
Sunray: Fallen Soldier,adventure,4.4,860.0,115.0
Dune: Part Two,adventure,8.4,705079.0,166.0
Going Viral,adventure,6.3,314.0,90.0
The Day the Earth Blew Up: A Looney Tunes Movie,adventure,6.8,8129.0,91.0
Hanu Man,adventure,7.7,30184.0,158.0
The Goat,adventure,5.6,401.0,91.0
Hope & Glory,adventure,6.5,156.0,44.0
Killer Witches from Outer Space,adventure,3.6,163.0,82.0
Ahl Al Kahf,adventure,5.2,349.0,120.0
Harold and the Purple Crayon,adventure,5.7,9721.0,90.0
No Way Up,adventure,4.6,11773.0,90.0
The Biggest Moon,adventure,2.4,155.0,105.0
Venom: The Last Dance,adventure,6.0,147606.0,110.0
Bionic,adventure,4.3,1835.0,110.0
Never Look Away,adventure,7.1,334.0,85.0
Autumn and the Black Jaguar,adventure,5.6,1216.0,100.0
Wallace & Gromit: Vengeance Most Fowl,adventure,7.5,39976.0,82.0
Devil's Knight,adventure,4.7,1100.0,90.0
The Empire,adventure,5.2,1528.0,110.0
Captain Avispa,adventure,5.7,190.0,96.0
Zak & Wowo: The Legend of Lendarys,adventure,5.0,117.0,85.0
Bade Miyan Chote Miyan,adventure,3.7,40617.0,163.0
Spiders on a Plane,adventure,3.6,568.0,78.0
Sonic the Hedgehog 3,adventure,6.9,75708.0,110.0
Powder Pup,adventure,5.8,94.0,89.0
Jaunt,adventure,7.9,10.0,78.0
Golden Kamuy,adventure,6.3,2846.0,127.0
Now or Never!,adventure,2.3,17272.0,135.0
The Return,adventure,6.3,13231.0,116.0
Xibalba Monster,adventure,6.7,40.0,76.0
WWII: Operation Phoenix,adventure,3.9,134.0,106.0
Descendants: The Rise of Red,adventure,4.7,7991.0,95.0
Woody Woodpecker Goes to Camp,adventure,4.5,2813.0,100.0
Angels Fallen: Warriors of Peace,adventure,3.9,6598.0,103.0
Tracing the Divide,adventure,7.9,196.0,84.0
Petualangan Anak Penangkap Hantu,adventure,5.8,30.0,99.0
Cult Killer,adventure,4.8,3263.0,105.0
Oro Negro,adventure,4.8,23.0,
Ghostbusters: Frozen Empire,adventure,6.1,101765.0,115.0
The Ballad of Straw Hat Sam,adventure,8.5,14.0,45.0
Meanwhile on Earth,adventure,5.8,1257.0,89.0
