movie_name,genre,rating,votes,duration_minutes
Elli and Her Monster Team,animation,4.9,139.0,86.0
Thelma the Unicorn,animation,5.7,3263.0,93.0
The Most Precious of Cargoes,animation,7.1,2063.0,81.0
Si Juki the Movie: Harta Pulau Monyet,animation,6.3,156.0,107.0
Savages,animation,6.7,634.0,87.0
The Proud Princess,animation,6.2,225.0,84.0
IF,animation,6.4,63847.0,104.0
Schirkoa: In Lies We Trust,animation,5.5,232.0,103.0
Rock Bottom,animation,6.3,79.0,86.0
My Redneck Neighbor: Chapter 2 - Let the Games Begin,animation,5.4,16.0,55.0
Hitpig,animation,5.2,1267.0,86.0
Mufasa: The Lion King,animation,6.6,79542.0,118.0
Apocalypse Love,animation,7.3,14.0,
Panda Bear in Africa,animation,5.5,424.0,84.0
Moana 2,animation,6.3,120500.0,100.0
Overlord: The Sacred Kingdom,animation,6.9,1917.0,135.0
Mobile Suit Gundam SEED Freedom,animation,6.6,1080.0,124.0
Niko: Beyond the Northern Lights,animation,6.1,448.0,86.0
The Lord of the Rings: The War of the Rohirrim,animation,6.3,37966.0,134.0
Spermageddon,animation,5.4,3413.0,80.0
That Christmas,animation,6.8,20086.0,91.0
Flavors of Iraq,animation,8.1,81.0,95.0
Nothing Unusual,animation,8.2,17.0,92.0
The Day the Earth Blew Up: A Looney Tunes Movie,animation,6.8,8129.0,91.0
Harold and the Purple Crayon,animation,5.7,9721.0,90.0
The Greatest Surf Movie in the Universe,animation,4.4,26.0,81.0
Maxxie LaWow: Drag Super-shero,animation,7.2,347.0,114.0
Teacher's Pet,animation,5.8,37.0,
Wallace & Gromit: Vengeance Most Fowl,animation,7.5,39976.0,82.0
Captain Avispa,animation,5.7,190.0,96.0
Olivia & the Clouds,animation,7.0,88.0,81.0
Zak & Wowo: The Legend of Lendarys,animation,5.0,117.0,85.0
Uma & Haggen: Mitos,animation,7.3,83.0,94.0
Mars,animation,7.0,41.0,84.0
The Remarkable Life of Ibelin,animation,8.1,14389.0,103.0
Woody Woodpecker Goes to Camp,animation,4.5,2813.0,100.0
The Ballad of Straw Hat Sam,animation,8.5,14.0,45.0
Kung Fu Panda 4,animation,6.3,77051.0,94.0
Isla Monstro,animation,7.9,17.0,96.0
Inside Out 2,animation,7.5,240298.0,96.0
Big City Greens the Movie: Spacecation,animation,6.2,657.0,83.0
Saving Bikini Bottom: The Sandy Cheeks Movie,animation,3.6,4422.0,82.0
Emma's Big Adventure,animation,5.3,167.0,106.0
Into the Wonderwoods,animation,6.1,262.0,81.0
Fox & Hare Save the Forest,animation,5.9,255.0,71.0
Memoir of a Snail,animation,7.8,23723.0,95.0
The Colors Within,animation,7.0,1575.0,101.0
Steal the Naughty List,animation,4.9,140.0,90.0
SuperClaus,animation,4.2,260.0,88.0
Johnny Puff: Secret Mission,animation,4.7,523.0,87.0
Ekip: Siberay - Günes Firtinasi,animation,6.0,14.0,72.0
Tay 2: Ebabil Takimi,animation,5.1,49.0,78.0
Cille 2069,animation,5.4,105.0,
Riki Rhino: The Bird Kingdom,animation,5.0,28.0,109.0
Tobias and the Arcane Merchant,animation,8.9,55.0,167.0
Fat Chance! the Movie,animation,7.5,8.0,
Buffalo Kids,animation,6.6,933.0,81.0
Animal Adventures: Save the Forest,animation,7.7,35.0,85.0
Askepote,animation,3.5,101.0,72.0
Spider-Man: Blue,animation,5.9,12.0,
Piril: Sayilarin Gizemi,animation,8.7,70.0,
The Big Trip 3: Race Around the World,animation,5.3,108.0,85.0
200% Wolf,animation,5.8,1454.0,98.0
The Green Dinosaur,animation,6.2,287.0,93.0
Living Large,animation,6.6,321.0,80.0
Norbert,animation,6.4,26.0,75.0
Ghost Cat Anzu,animation,6.6,1077.0,97.0
Mariposas Negras,animation,7.0,95.0,83.0
Orion and the Dark,animation,6.3,18674.0,93.0
Luv You Shankar,animation,5.9,47.0,120.0
Tri kota. Zimnie kanikuly,animation,6.4,42.0,65.0
Grand Theft Hamlet,animation,6.9,2535.0,89.0
My Freaky Family,animation,6.0,466.0,86.0
Super-Charlie,animation,5.7,349.0,82.0
Blue Lock: Episode Nagi,animation,6.6,3014.0,91.0
Dead Dead Demon's Dededede Destruction,animation,7.1,157.0,120.0
Dead Dead Demon's Dededede Destruction Koushou,animation,7.0,161.0,120.0
Justice League: Crisis on Infinite Earths - Part One,animation,6.2,9578.0,93.0
Gracie and Pedro: Pets to the Rescue,animation,5.0,318.0,87.0
A Sloth Story,animation,5.6,356.0,90.0
Doraemon the Movie: Nobita's Earth Symphony,animation,6.6,1878.0,115.0
