movie_name,genre,rating,votes,duration_minutes
Joy,biography,7.1,11273.0,115.0
Jenni,biography,6.1,59.0,113.0
The Ballad of Davy Crockett,biography,4.5,293.0,96.0
Rob Peace,biography,6.6,2619.0,120.0
Vindication Swim,biography,5.9,241.0,98.0
Luther: Never Too Much,biography,8.1,1054.0,101.0
Maidaan,biography,7.9,23306.0,181.0
Ravens,biography,7.8,101.0,117.0
Clemente,biography,7.9,125.0,101.0
Rock Bottom,biography,6.3,79.0,86.0
Winner,biography,6.5,3189.0,103.0
The Great Tram Robbery,biography,5.7,21.0,90.0
A Complete Unknown,biography,7.3,110161.0,141.0
The Outrun,biography,6.9,20923.0,118.0
Main Mulayam Singh Yadav,biography,3.8,210.0,120.0
Qajymuqan,biography,4.8,11.0,
Knock Out Blonde: The Kellie Maloney Story,biography,6.2,24.0,90.0
Der Soldat Monika,biography,6.9,36.0,109.0
Midas Man,biography,6.4,2050.0,112.0
Audrey's Children,biography,6.8,887.0,110.0
Kulej. All That Glitters Isn't Gold,biography,6.4,387.0,148.0
Schindler Space Architect,biography,7.5,23.0,93.0
The Tower of Strength,biography,7.4,44.0,95.0
Shirley,biography,6.2,3566.0,117.0
Madu,biography,5.4,279.0,100.0
The Great Lillian Hall,biography,7.3,2366.0,110.0
Better Man,biography,7.5,42950.0,135.0
Cabrini,biography,7.3,9685.0,142.0
Sadik Ahmet,biography,7.5,469.0,125.0
The Shamrock Spitfire,biography,5.1,574.0,108.0
Simona Kossak,biography,6.0,473.0,100.0
Quisling: The Final Days,biography,7.1,1530.0,146.0
Swatantrya Veer Savarkar,biography,7.7,18047.0,176.0
Joachim and the Apocalypse,biography,6.3,28.0,90.0
Unfrosted,biography,5.5,36262.0,97.0
I'm Still Here,biography,8.1,141471.0,137.0
Garip Bülbül: Neset Ertas,biography,6.4,26.0,130.0
Billy Preston: That's the Way God Planned It,biography,8.6,34.0,105.0
Never Look Away,biography,7.1,334.0,85.0
Reagan,biography,6.1,12544.0,141.0
The Truth: The Journey Within,biography,6.3,10.0,91.0
Biggest Heist Ever,biography,6.1,1777.0,85.0
Blood'less' Revolution,biography,6.6,343.0,103.0
Hope of Escape,biography,7.4,53.0,91.0
Karina,biography,6.4,109.0,90.0
Lost Nation,biography,7.1,12.0,
Spyral,biography,8.8,25.0,83.0
Jim Henson: Idea Man,biography,7.7,4171.0,111.0
Ataturk II: 1881-1919,biography,8.8,2892.0,141.0
Münter & Kandinsky,biography,6.2,158.0,126.0
The Remarkable Life of Ibelin,biography,8.1,14389.0,103.0
Now or Never!,biography,2.3,17272.0,135.0
Ae Watan Mere Watan,biography,4.7,1424.0,133.0
Being Maria,biography,6.1,1106.0,100.0
Race for Glory: Audi vs. Lancia,biography,5.8,5778.0,109.0
Elton John: Never Too Late,biography,6.6,2228.0,102.0
Who Killed Lawrence of Arabia?,biography,6.1,37.0,100.0
"From Hilde, with Love",biography,6.9,1479.0,125.0
Estimados Señores,biography,7.6,81.0,98.0
Back to Black,biography,6.3,29253.0,122.0
Scoop,biography,6.5,21505.0,102.0
The Movie Man,biography,7.7,249.0,89.0
Cookster: The Darkest Days,biography,7.9,51.0,119.0
Tears of Cem Karaca,biography,7.2,2465.0,123.0
William Tell,biography,5.7,6704.0,134.0
Maria,biography,6.4,24095.0,124.0
Harbin,biography,6.3,1748.0,108.0
Nr. 24,biography,7.5,18895.0,111.0
Srikanth,biography,7.4,14483.0,134.0
Queer,biography,6.4,27667.0,137.0
Main Atal Hoon,biography,6.9,6444.0,139.0
Hayatla Baris,biography,6.3,451.0,125.0
Bonhoeffer: Pastor. Spy. Assassin.,biography,6.2,4453.0,133.0
Music by John Williams,biography,8.2,5739.0,105.0
COMA,biography,8.1,15.0,80.0
Zuckerberg: King of the Metaverse,biography,5.9,282.0,90.0
Niki,biography,6.0,628.0,98.0
Boléro,biography,6.5,1100.0,120.0
Amar Singh Chamkila,biography,7.8,17137.0,145.0
Monsieur Aznavour,biography,7.2,3739.0,133.0
Padu,biography,5.3,89.0,97.0
Daytime Revolution,biography,6.8,124.0,108.0
Raghuveer,biography,8.9,68.0,125.0
Amaran,biography,8.1,23375.0,167.0
My Name Is Dingo,biography,6.2,692.0,88.0
Saint-Exupéry,biography,5.3,892.0,98.0
Miséria,biography,4.2,111.0,99.0
"Disco, Ibiza, Locomia",biography,6.0,1694.0,104.0
Gold,biography,7.8,89.0,126.0
Chandu Champion,biography,7.8,36305.0,142.0
A Wolf Among the Swans,biography,7.3,72.0,110.0
Malevych,biography,5.9,91.0,90.0
Diane von Furstenberg: Woman in Charge,biography,7.2,352.0,97.0
Nedelja,biography,7.2,1988.0,130.0
The Flood,biography,6.3,459.0,101.0
Saturday Night,biography,6.9,37304.0,109.0
Reading Lolita in Tehran,biography,6.2,1040.0,108.0
Wingless,biography,7.1,276.0,110.0
"Kati: Eine Kür, die bleibt",biography,6.1,94.0,99.0
Go Against the Flow,biography,5.3,186.0,97.0
Saint Nick of Bethlehem,biography,6.9,156.0,93.0
Little Bites,biography,4.7,1688.0,105.0
El 47,biography,7.2,4731.0,110.0
Padatik,biography,7.9,125.0,126.0
Ernest Cole: Lost and Found,biography,7.3,492.0,105.0
Eterno visionario,biography,6.3,241.0,112.0
Fly by Night,biography,8.6,17.0,
Super/Man: The Christopher Reeve Story,biography,8.0,11312.0,104.0
