movie_name,genre,rating,votes,duration_minutes
The Killer's Game,comedy,5.8,19950.0,104.0
The Problem with People,comedy,5.7,696.0,102.0
Young Lion of the West,comedy,5.4,116.0,93.0
Goodrich,comedy,6.3,7358.0,110.0
Being Robin,comedy,5.8,14.0,
The Mick and the Trick,comedy,5.0,92.0,96.0
Office Madness,comedy,5.7,10.0,
Nobody Leaves 'til Jesus Comes,comedy,7.2,15.0,
"Love, Danielle",comedy,8.7,63.0,79.0
For Prophet,comedy,5.3,119.0,105.0
Thelma the Unicorn,comedy,5.7,3263.0,93.0
Youn'G,comedy,8.7,52.0,
Get Away,comedy,5.3,10243.0,86.0
Royal Runaways,comedy,4.4,161.0,116.0
Si Juki the Movie: Harta Pulau Monyet,comedy,6.3,156.0,107.0
Sexagenarian,comedy,6.9,17.0,74.0
Hope's Hollywood Christmas,comedy,4.7,134.0,90.0
Audrey,comedy,5.6,389.0,97.0
The Proud Princess,comedy,6.2,225.0,84.0
Vampire Zombies... From Space!,comedy,6.8,255.0,98.0
"De Repente, Miss!",comedy,6.5,82.0,93.0
IF,comedy,6.4,63847.0,104.0
Hollywood Dreams,comedy,8.6,24.0,99.0
Christmas Slasher,comedy,4.8,16.0,
Game On,comedy,2.5,374.0,85.0
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,comedy,5.4,16.0,74.0
Team of Two,comedy,4.9,120.0,
Ranganayaka,comedy,4.0,77.0,121.0
The Throwback,comedy,5.5,446.0,96.0
Lion of Judah Legacy,comedy,6.1,70.0,96.0
Winner,comedy,6.5,3189.0,103.0
Filthy Animals,comedy,5.0,158.0,96.0
Welcome to Kittytown,comedy,7.4,14.0,88.0
A.R.M,comedy,7.1,9911.0,150.0
The Gentleman,comedy,7.9,115.0,103.0
Hijo de familia,comedy,8.5,13.0,
Look at Me,comedy,6.9,17.0,87.0
Can't Let It Go,comedy,8.7,14.0,
Last ExMas,comedy,5.4,445.0,84.0
Mean Girls,comedy,5.5,40078.0,112.0
Waarom Wettelen,comedy,6.3,621.0,106.0
The Best Friend,comedy,6.2,235.0,96.0
Hard Truths,comedy,7.2,8455.0,97.0
The Stork,comedy,6.3,26.0,96.0
The Private Eye,comedy,5.5,283.0,115.0
Krazy House,comedy,4.8,1654.0,89.0
A Wall Away,comedy,4.9,79.0,90.0
Don't Tell Mom the Babysitter's Dead,comedy,4.0,1468.0,99.0
The Union,comedy,5.5,57080.0,107.0
Man and Witch: The Dance of a Thousand Steps,comedy,5.6,381.0,94.0
Half Baked: Totally High,comedy,4.6,395.0,97.0
The Great Nick D,comedy,7.5,19.0,95.0
Lovefool,comedy,5.1,275.0,87.0
Shell,comedy,4.9,2606.0,100.0
Cult of Blood,comedy,3.3,92.0,
Bad Things,comedy,6.4,43.0,
Nightbitch,comedy,5.5,23231.0,99.0
Scarpedicemente,comedy,7.9,40.0,86.0
Corridor,comedy,6.0,12.0,108.0
My Spy: The Eternal City,comedy,5.7,11924.0,112.0
Role Play,comedy,5.5,20149.0,100.0
Staycation,comedy,6.9,136.0,94.0
Grrr...,comedy,4.2,1899.0,121.0
Cholo Zombies,comedy,3.5,145.0,96.0
Influenza,comedy,4.2,36.0,98.0
A Trip Elsewhere,comedy,4.5,198.0,93.0
Alien Country,comedy,4.6,496.0,96.0
Bye Bye Kitty,comedy,5.5,11.0,
Christmas Overtime,comedy,5.2,92.0,92.0
Rules of Living,comedy,9.6,11.0,109.0
The Good Loan Sharks,comedy,5.0,79.0,122.0
Apocalypse Love,comedy,7.3,14.0,
Sacramento,comedy,5.9,3480.0,89.0
My Divorce Party,comedy,3.6,203.0,91.0
Zero,comedy,5.3,136.0,88.0
Panda Bear in Africa,comedy,5.5,424.0,84.0
Moana 2,comedy,6.3,120500.0,100.0
Fight or Flight,comedy,6.4,23390.0,102.0
The Supremes at Earl's All-You-Can-Eat,comedy,6.5,1634.0,124.0
Tuesday,comedy,4.6,12.0,
Bloody Bridget,comedy,6.8,57.0,81.0
Here We Go,comedy,4.2,42.0,102.0
The Business Women's Club,comedy,4.8,125.0,95.0
La reina del convento,comedy,3.1,60.0,84.0
Tasty,comedy,7.0,193.0,108.0
The Southern Chronicles,comedy,8.6,3375.0,120.0
Arena Wars,comedy,5.0,3394.0,96.0
Rahul Dua: Oh Hello!,comedy,7.5,16.0,
