movie_name,genre,rating,votes,duration_minutes
Nefarious,crime,7.3,62.0,85.0
Lady Scorpions,crime,3.6,393.0,101.0
The Lockdown,crime,4.4,663.0,117.0
Young Lion of the West,crime,5.4,116.0,93.0
The Mick and the Trick,crime,5.0,92.0,96.0
The Girl with the Needle,crime,7.5,18743.0,123.0
Youn'G,crime,8.7,52.0,
Even the Score,crime,5.2,19.0,
Marine Drive,crime,9.4,53.0,105.0
Boneyard,crime,4.1,5855.0,96.0
Rebel Ridge,crime,6.8,99343.0,131.0
Team of Two,crime,4.9,120.0,
Echo 8,crime,5.8,1574.0,95.0
The Legend of the Vagabond Queen of Lagos,crime,7.6,62.0,100.0
Filthy Animals,crime,5.0,158.0,96.0
Three Old Boys,crime,4.8,109.0,108.0
Breathe,crime,8.5,51.0,
Namak,crime,4.5,13.0,75.0
Dead Sea,crime,5.2,5900.0,88.0
Spending Some Time Together,crime,6.9,31.0,146.0
Lipstick on the Glass,crime,4.1,14.0,116.0
The Star City Murders,crime,4.0,162.0,79.0
Singham Again,crime,4.3,75969.0,144.0
They Turned Us Into Killers,crime,2.7,281.0,86.0
Shame,crime,6.9,39.0,103.0
The Victims,crime,5.8,104.0,99.0
Ohne Wahrheit,crime,9.2,74.0,133.0
Hovering Blade,crime,6.1,252.0,107.0
Hocus Focus,crime,7.9,20.0,85.0
Hyde Out,crime,5.7,28.0,
Haunting Trophies,crime,6.1,104.0,150.0
Andhagan,crime,6.6,1256.0,142.0
Uno,crime,8.4,37.0,
The Good Loan Sharks,crime,5.0,79.0,122.0
Fyre Rises,crime,5.9,334.0,110.0
Dead Wrong,crime,3.8,333.0,104.0
The Crow,crime,4.7,40005.0,111.0
Kingdom Reign,crime,8.3,41.0,119.0
A Cover-Up,crime,5.4,74.0,121.0
Dangerous Rumors,crime,7.2,60.0,
Who Do You Trust?,crime,3.9,50.0,96.0
Chacaleria,crime,7.8,427.0,116.0
Last Known Location,crime,5.9,1478.0,110.0
Anweshippin Kandethum,crime,7.4,11977.0,142.0
Lady Thug,crime,5.3,29.0,
Bloodline Killer,crime,4.1,5461.0,105.0
Wolfs,crime,6.5,98768.0,108.0
"MoviePass, MovieCrash",crime,6.7,2968.0,96.0
Midnight Taxi,crime,4.3,131.0,97.0
Lift,crime,5.6,51587.0,107.0
"LSD 2: Love, Sex Aur Dhokha 2",crime,3.8,2825.0,119.0
Reputation,crime,6.2,117.0,83.0
Orah,crime,7.0,27.0,95.0
The Brattt,crime,4.2,77.0,117.0
The Dealer,crime,7.2,15.0,120.0
The Hostage,crime,4.2,31.0,87.0
Double or Nothing,crime,7.3,30.0,96.0
Code 8: Part II,crime,5.7,16731.0,100.0
Passages of Nexus,crime,5.0,346.0,108.0
The Hitmen,crime,6.8,8.0,84.0
"Hemet, or the Landlady Don't Drink Tea",crime,4.4,117.0,89.0
Opportunity,crime,8.9,108.0,96.0
The Worst Man in London,crime,5.6,171.0,127.0
Formed Police Unit,crime,4.6,1533.0,120.0
Valleyheart,crime,8.2,47.0,98.0
5lbs of Pressure,crime,5.3,1923.0,111.0
The Notorious Finster,crime,3.9,195.0,113.0
The Beekeeper,crime,6.3,173892.0,105.0
Reloaded 2,crime,6.6,1428.0,45.0
Bagheera,crime,6.7,8587.0,158.0
Samhain,crime,7.1,9.0,
Visfot,crime,5.7,1254.0,130.0
The Shameless,crime,5.9,378.0,114.0
Protein,crime,5.1,405.0,100.0
Maldoror,crime,6.6,1702.0,155.0
Raavsaheb,crime,8.4,14.0,138.0
A Whale,crime,5.4,263.0,108.0
Pepe,crime,5.1,524.0,126.0
Los Justos,crime,6.5,88.0,79.0
The Waterboyz,crime,4.8,177.0,89.0
Ugravatara,crime,8.4,2092.0,122.0
Perfect Blue,crime,7.8,14.0,
Grey Games,crime,8.6,743.0,121.0
Pinwheelz,crime,6.9,19.0,
One Last Time,crime,7.2,17.0,82.0
Wanted Man,crime,4.8,2971.0,85.0
Heart of the Man,crime,6.1,31.0,85.0
Searching for Amani,crime,7.8,37.0,80.0
Aaro,crime,4.5,15.0,120.0
Tatkshan,crime,8.4,22.0,
Chor Dil,crime,7.5,43.0,135.0
