movie_name,genre,rating,votes,duration_minutes
The Promise of Perfume,documentary,5.7,10.0,57.0
On Moral Grounds,documentary,8.4,8.0,74.0
Rain Falls from Earth: Surviving Cambodia's Darkest Hour,documentary,8.0,14.0,
Fear and Love: The Story of the Exorcist,documentary,8.4,69.0,61.0
Secret Ways of a Whale Shark,documentary,6.2,6.0,50.0
Loud Love,documentary,8.6,17.0,87.0
Pet Farm,documentary,7.2,40.0,83.0
Weirdo: The Story of Five Eight,documentary,9.7,9.0,103.0
Still Stares,documentary,7.2,10.0,75.0
Le Plein Potentiel,documentary,7.7,8.0,80.0
"Lumière, l'aventure continue",documentary,7.7,217.0,104.0
All Illusions Must Be Broken,documentary,7.7,37.0,89.0
Breaking Boundaries,documentary,8.5,32.0,76.0
X Trillion,documentary,6.7,65.0,68.0
I'm 'George Lucas': A Connor Ratliff Story,documentary,7.9,49.0,90.0
Baldy for the Blind,documentary,9.7,55.0,78.0
Cutthroat: The Race to Save Yellowstone,documentary,7.6,17.0,
Luther: Never Too Much,documentary,8.1,1054.0,101.0
And They Will Talk About Us,documentary,7.5,8.0,103.0
Fight,documentary,8.5,6.0,
Kut Al Amara: From Tale to Truth,documentary,8.2,5.0,
Clemente,documentary,7.9,125.0,101.0
Dandelion,documentary,8.9,10.0,95.0
Servidão,documentary,7.9,13.0,72.0
For the Living,documentary,7.3,16.0,117.0
We Are All in This Together,documentary,9.2,19.0,74.0
Why Dinosaurs?,documentary,9.3,41.0,77.0
Walkout,documentary,7.4,9.0,85.0
Memories of Love Returned,documentary,9.4,16.0,76.0
How to Build a Truth Engine,documentary,7.5,58.0,124.0
Life After the NeverEnding Story,documentary,7.9,87.0,91.0
Realm of Satan,documentary,4.7,151.0,80.0
Bulletproof: A Lesbian's Guide to Surviving the Plot,documentary,6.0,44.0,105.0
Daughters,documentary,7.6,1831.0,108.0
Knock Out Blonde: The Kellie Maloney Story,documentary,6.2,24.0,90.0
Yalla Parkour,documentary,7.4,87.0,89.0
Red Fever,documentary,7.6,51.0,104.0
Until I Fly,documentary,7.2,47.0,90.0
Everybody's Watching,documentary,8.1,8.0,19.0
Silent Men,documentary,7.7,34.0,88.0
Don't Forget to Leave,documentary,9.3,10.0,
Hija del Volcán,documentary,6.9,8.0,109.0
Schindler Space Architect,documentary,7.5,23.0,93.0
Norman's Rare Guitars Documentary,documentary,7.7,320.0,98.0
Skategoat,documentary,8.5,36.0,84.0
Balomania,documentary,7.4,203.0,93.0
Sentenced,documentary,7.4,21.0,69.0
The True Story of Tamara de Lempicka & The Art of Survival,documentary,8.5,61.0,96.0
Kelly - Someone Else's Dream,documentary,6.4,120.0,90.0
The Sound of Hope,documentary,9.2,19.0,
Breaking Olympia: The Phil Heath Story,documentary,7.1,289.0,114.0
Seeing Through the Darkness,documentary,7.7,6.0,93.0
Lost in the Shuffle,documentary,6.4,188.0,100.0
Spy Capital,documentary,8.8,23.0,74.0
The Krays: The Mafia Connection,documentary,5.0,27.0,95.0
Satisfied,documentary,7.5,56.0,84.0
Desert Angel,documentary,8.6,18.0,87.0
Bloody & Bruised: The Untold Story of the Back Room,documentary,8.3,20.0,
Sally!,documentary,9.0,53.0,96.0
Chuck Zito: An American Story,documentary,7.9,23.0,
Water Brother,documentary,9.6,39.0,88.0
My Life with Asperger's,documentary,9.5,19.0,62.0
The Presidents' Tailor,documentary,7.4,8.0,39.0
Fight to Live,documentary,6.2,52.0,79.0
The Last of the Sea Women,documentary,7.0,777.0,87.0
A Case for Love,documentary,7.7,17.0,115.0
Made in Ethiopia,documentary,7.2,127.0,91.0
TEA: The Drink That Changed the World,documentary,6.4,11.0,89.0
One Night in Millstreet,documentary,7.4,92.0,79.0
