movie_name,genre,rating,votes,duration_minutes
The Perfect Shadow,drama,8.3,13.0,82.0
Universal Groove,drama,5.6,175.0,74.0
Maybe It's True What They Say About Us,drama,6.2,129.0,94.0
The Dog Thief,drama,7.2,154.0,90.0
The Probe,drama,7.2,16.0,58.0
The Lockdown,drama,4.4,663.0,117.0
Perspectiva,drama,6.2,101.0,90.0
Megalopolis,drama,4.7,40597.0,138.0
"Meeting You, Meeting Me",drama,9.0,29.0,85.0
Goodrich,drama,6.3,7358.0,110.0
Bureau 749,drama,3.8,689.0,123.0
Swimming Home,drama,4.7,569.0,99.0
The Girl with the Needle,drama,7.5,18743.0,123.0
The Refugee,drama,7.5,257.0,101.0
Shook,drama,7.1,103.0,113.0
Joy,drama,7.1,11273.0,115.0
Riviera,drama,6.4,40.0,84.0
Concerto for Abigail,drama,7.1,380.0,82.0
Nobody Leaves 'til Jesus Comes,drama,7.2,15.0,
"Love, Danielle",drama,8.7,63.0,79.0
For Prophet,drama,5.3,119.0,105.0
Tacoma,drama,3.3,203.0,103.0
Monarch City,drama,7.2,16.0,70.0
Silent Notes,drama,8.3,17.0,
The Place in Between,drama,8.4,15.0,
The Most Precious of Cargoes,drama,7.1,2063.0,81.0
The Clearing,drama,4.0,39.0,
A Song from the Dark,drama,4.9,2234.0,105.0
Jenni,drama,6.1,59.0,113.0
A Game of Two Halves,drama,7.1,25.0,100.0
Aliya Basu Gayab Hai,drama,5.9,2816.0,103.0
Abdo and Saneya,drama,8.2,16.0,100.0
The Ballad of Davy Crockett,drama,4.5,293.0,96.0
Hazard,drama,7.0,1211.0,89.0
Love Song and Power,drama,1.4,11.0,90.0
Outlaw Posse,drama,4.2,590.0,108.0
It Ends with Us,drama,6.3,95913.0,130.0
Sexagenarian,drama,6.9,17.0,74.0
Arthur the King,drama,7.0,37702.0,107.0
All That We Love,drama,7.8,58.0,90.0
Here's Yianni!,drama,8.2,21.0,101.0
Rob Peace,drama,6.6,2619.0,120.0
Vindication Swim,drama,5.9,241.0,98.0
Pepe,drama,6.2,615.0,122.0
Undefiled,drama,6.1,93.0,115.0
Isolation,drama,6.6,567.0,82.0
Maidaan,drama,7.9,23306.0,181.0
Before Dawn,drama,5.4,1321.0,101.0
Ravens,drama,7.8,101.0,117.0
El Jardin aka: Narco Killer,drama,5.0,38.0,103.0
Boneyard,drama,4.1,5855.0,96.0
Konec sveta,drama,7.5,39.0,134.0
Rust,drama,5.7,4341.0,139.0
Barah by Barah,drama,7.5,105.0,118.0
Sucha Soorma,drama,6.4,964.0,136.0
The Snow Sister,drama,7.0,2519.0,96.0
Spaceman,drama,5.7,45965.0,107.0
Mongrel,drama,6.0,171.0,128.0
IF,drama,6.4,63847.0,104.0
Semilla del Desierto,drama,6.5,20.0,81.0
Grafted,drama,5.6,3242.0,96.0
Hunter Brothers,drama,6.0,18.0,109.0
Mazaiyil Nanaigiren,drama,8.5,399.0,149.0
The Rhythm,drama,5.4,59.0,
Reinas,drama,6.7,448.0,104.0
Do You Want to Die in Indio?,drama,4.9,147.0,101.0
"I, the Song",drama,7.2,65.0,113.0
Qalb,drama,6.5,2451.0,147.0
Intoxicated by Love,drama,7.2,15086.0,118.0
Rebel Ridge,drama,6.8,99343.0,131.0
Continente,drama,4.9,114.0,115.0
Some Nights I Feel Like Walking,drama,6.6,168.0,103.0
Joker: Folie à Deux,drama,5.2,176913.0,138.0
The Window,drama,5.3,136.0,82.0
Kingdom of the Planet of the Apes,drama,6.8,164682.0,145.0
The Legend of the Vagabond Queen of Lagos,drama,7.6,62.0,100.0
Rule of Thirds,drama,6.4,1225.0,102.0
The Little Things,drama,7.8,48.0,90.0
The Great Tram Robbery,drama,5.7,21.0,90.0
Relay,drama,7.0,24062.0,112.0
A Complete Unknown,drama,7.3,110161.0,141.0
Three Old Boys,drama,4.8,109.0,108.0
Breathe,drama,8.5,51.0,
Gjirokastra,drama,8.0,13.0,
Sima's Song,drama,6.9,47.0,97.0
Namak,drama,4.5,13.0,75.0
Lazarus Path,drama,6.1,200.0,90.0
The Outrun,drama,6.9,20923.0,118.0
With or Without You,drama,5.9,147.0,114.0
Look at Me,drama,6.9,17.0,87.0
"Dear Kate,",drama,8.1,25.0,121.0
Waarom Wettelen,drama,6.3,621.0,106.0
Mara Pappa Superhero,drama,8.5,21.0,120.0
My Place Is Here,drama,7.0,137.0,107.0
Spending Some Time Together,drama,6.9,31.0,146.0
The Muleteer,drama,7.6,60.0,103.0
Devara Part 1,drama,6.0,23103.0,176.0
Manje Bistre 3,drama,8.5,17.0,
Via Don Minzoni N.6,drama,7.2,14.0,88.0
Meeting Ms. Leigh,drama,4.7,149.0,117.0
Hard Truths,drama,7.2,8455.0,97.0
The Washer,drama,6.5,13.0,90.0
Fresh,drama,6.5,109.0,98.0
