movie_name,genre,rating,votes,duration_minutes
For Prophet,family,5.3,119.0,105.0
Elli and Her Monster Team,family,4.9,139.0,86.0
A Game of Two Halves,family,7.1,25.0,100.0
Savages,family,6.7,634.0,87.0
Hope's Hollywood Christmas,family,4.7,134.0,90.0
The Proud Princess,family,6.2,225.0,84.0
The Snow Sister,family,7.0,2519.0,96.0
My Redneck Neighbor: Chapter 1 - The Rednecks Are Coming,family,5.4,16.0,74.0
Finding Christmas,family,6.5,28.0,
Man and Witch: The Dance of a Thousand Steps,family,5.6,381.0,94.0
Gabru Gang,family,8.5,216.0,123.0
Skelly,family,5.2,108.0,85.0
My Eyes,family,4.7,110.0,87.0
Grrr...,family,4.2,1899.0,121.0
"Love, Sitara",family,5.3,318.0,105.0
Little Town,family,6.1,20.0,90.0
The Tower of Strength,family,7.4,44.0,95.0
Idu Entha Lokavayya,family,5.8,8.0,120.0
The Neon Highway,family,6.0,550.0,113.0
Uparwala & Sons,family,9.1,323.0,126.0
Niko: Beyond the Northern Lights,family,6.1,448.0,86.0
Depth of Field,family,7.3,71.0,
Rally Caps,family,5.3,177.0,100.0
A Carpenter's Prayer,family,5.4,148.0,91.0
Give 'Em Hell Honey!,family,5.9,22.0,94.0
Dedh Bigha Zameen,family,6.9,818.0,100.0
Young Hearts,family,7.9,7782.0,99.0
Going Viral,family,6.3,314.0,90.0
Lucy and the Lake Monster,family,8.3,50.0,
Dance Rivals,family,5.7,84.0,93.0
You Gotta Believe,family,5.9,1712.0,104.0
Mastaani,family,8.8,31.0,150.0
Autumn and the Black Jaguar,family,5.6,1216.0,100.0
The Hedgehog,family,6.6,704.0,104.0
Uma & Haggen: Mitos,family,7.3,83.0,94.0
Shaktiman,family,7.1,10.0,
Karina,family,6.4,109.0,90.0
Our Christmas House,family,5.3,56.0,77.0
The Christmas Room,family,6.3,57.0,99.0
Børnene fra Sølvgade,family,6.5,188.0,102.0
Powder Pup,family,5.8,94.0,89.0
Vindu Bhojanam,family,7.0,56.0,103.0
Descendants: The Rise of Red,family,4.7,7991.0,95.0
Girl Haunts Boy,family,6.3,3790.0,100.0
Vovó Ninja,family,5.2,24.0,96.0
Cricket,family,8.0,17.0,
Petualangan Anak Penangkap Hantu,family,5.8,30.0,99.0
Hope,family,4.3,65.0,79.0
Cup,family,8.6,99.0,146.0
Woof Woof Daddy,family,6.1,50.0,105.0
Robin and the Hoods,family,4.3,587.0,100.0
The Bremen Town Musicians,family,4.3,831.0,115.0
Home-less for the Holidays,family,6.5,22.0,
Treasure Trackers,family,5.6,204.0,92.0
Ghudchadi,family,4.1,591.0,113.0
The Magic Penguin,family,3.2,37.0,89.0
The Secret of Pin-Up Island,family,7.1,105.0,107.0
Mistress Dispeller,family,7.0,299.0,94.0
"Akiko, the Flying Monkey",family,5.2,43.0,70.0
Emma's Big Adventure,family,5.3,167.0,106.0
Brother,family,5.7,2372.0,140.0
Gharat Ganpati,family,7.7,611.0,139.0
Singapore Saloon,family,6.0,1323.0,137.0
Unsung Hero,family,7.0,5639.0,113.0
Carol,family,7.4,63.0,115.0
Mountain Boy,family,7.9,31.0,93.0
Guest from the Future,family,6.0,1405.0,141.0
Sur Lagoo De,family,8.6,12.0,
Mr. Santa: A Christmas Extravaganza,family,6.7,27.0,98.0
Gowri,family,6.6,4496.0,130.0
Sabari,family,6.4,5417.0,129.0
DeAr,family,5.2,2456.0,132.0
SuperClaus,family,4.2,260.0,88.0
14 Days Love,family,6.2,14.0,112.0
Chicken Coop,family,5.8,98.0,98.0
Saving Christmas,family,7.6,31.0,
Sketch,family,6.6,5186.0,93.0
The Magician's Raincoat,family,5.0,158.0,89.0
Nadanna Sambhavam,family,6.0,2859.0,120.0
Letuchiy korabl,family,3.3,435.0,100.0
Håkan Hurricane 2,family,5.4,169.0,92.0
Romeo and Benvolio,family,9.7,31.0,80.0
The Forge,family,6.8,5696.0,124.0
Appa I Love You,family,8.2,544.0,145.0
