movie_name,genre,rating,votes,duration_minutes
Universal Groove,fantasy,5.6,175.0,74.0
Megalopolis,fantasy,4.7,40597.0,138.0
"Love, Danielle",fantasy,8.7,63.0,79.0
Barroz: Guardian of Treasures,fantasy,3.3,1124.0,155.0
A Song from the Dark,fantasy,4.9,2234.0,105.0
Bloodspawn,fantasy,5.1,33.0,76.0
Vertical,fantasy,4.9,166.0,111.0
Schirkoa: In Lies We Trust,fantasy,5.5,232.0,103.0
We Work for the Dead,fantasy,6.2,526.0,84.0
Legend of the White Dragon,fantasy,7.8,51.0,90.0
Balestra,fantasy,5.1,572.0,145.0
Darker Than Night,fantasy,5.0,25.0,82.0
Wicked,fantasy,7.3,219847.0,160.0
Nightbitch,fantasy,5.5,23231.0,99.0
The Life of Chuck,fantasy,7.3,48747.0,111.0
Bye Bye Kitty,fantasy,5.5,11.0,
The Crow,fantasy,4.7,40005.0,111.0
River of Ghosts,fantasy,2.9,313.0,102.0
Damsel,fantasy,6.1,116235.0,110.0
Fluxx,fantasy,4.4,206.0,100.0
The Phantom Warrior,fantasy,2.3,582.0,119.0
Brush of the God,fantasy,6.4,16.0,74.0
Witches of God,fantasy,6.9,21.0,73.0
Better Man,fantasy,7.5,42950.0,135.0
Went Up the Hill,fantasy,5.9,328.0,100.0
The Master and Margarita,fantasy,7.1,6300.0,156.0
Godzilla x Kong: The New Empire,fantasy,6.0,131107.0,115.0
Sun Never Again,fantasy,6.8,54.0,72.0
Iron Nest of the Moon,fantasy,7.6,13.0,70.0
Ba,fantasy,5.5,191.0,79.0
Levizia,fantasy,3.3,20.0,
The Invisibles,fantasy,5.9,681.0,111.0
Nueva Tierra,fantasy,7.7,37.0,123.0
"Hemet, or the Landlady Don't Drink Tea",fantasy,4.4,117.0,89.0
Witch,fantasy,4.8,1472.0,107.0
Mayan,fantasy,8.7,140.0,113.0
Seven Cemeteries,fantasy,4.6,734.0,84.0
La Lengua Desnuda,fantasy,3.8,10.0,
Hanu Man,fantasy,7.7,30184.0,158.0
Ooru Peru Bhairavakona,fantasy,5.7,1805.0,133.0
A Whale,fantasy,5.4,263.0,108.0
The End,fantasy,5.4,3069.0,148.0
Perfect Blue,fantasy,7.8,14.0,
Maya Puthagam,fantasy,4.6,441.0,122.0
Nyctophobia,fantasy,6.4,1867.0,90.0
UmroAyyar - A New Beginning,fantasy,6.9,700.0,135.0
Letters at Christmas,fantasy,3.3,245.0,84.0
Pushpaka Vimanam,fantasy,5.6,17.0,137.0
