movie_name,genre,rating,votes,duration_minutes
On Moral Grounds,history,8.4,8.0,74.0
The Girl with the Needle,history,7.5,18743.0,123.0
Joy,history,7.1,11273.0,115.0
Vindication Swim,history,5.9,241.0,98.0
Bloodspawn,history,5.1,33.0,76.0
Maidaan,history,7.9,23306.0,181.0
Before Dawn,history,5.4,1321.0,101.0
Sucha Soorma,history,6.4,964.0,136.0
Kut Al Amara: From Tale to Truth,history,8.2,5.0,
Intoxicated by Love,history,7.2,15086.0,118.0
Sragaal,history,8.5,20.0,140.0
Harvest,history,6.0,1813.0,133.0
Tears of Blood,history,9.7,8.0,88.0
Shirley,history,6.2,3566.0,117.0
Gadera,history,4.9,52.0,108.0
The Great Lillian Hall,history,7.3,2366.0,110.0
Sadik Ahmet,history,7.5,469.0,125.0
Simona Kossak,history,6.0,473.0,100.0
Quisling: The Final Days,history,7.1,1530.0,146.0
"Love, Courage and the Battle of Bushy Run",history,5.1,224.0,113.0
Unfrosted,history,5.5,36262.0,97.0
I'm Still Here,history,8.1,141471.0,137.0
Witch,history,4.8,1472.0,107.0
Madame Durocher,history,6.7,61.0,109.0
The Happiest Place on Earth,history,6.8,25.0,
Ahl Al Kahf,history,5.2,349.0,120.0
Chhatrapati Tararani,history,9.0,20.0,
Blitz,history,6.2,18164.0,120.0
In the Land That Sings,history,6.3,102.0,150.0
Last Flamingo of the Red Summer Sunset,history,8.5,14.0,80.0
Reagan,history,6.1,12544.0,141.0
Bright Future,history,7.7,33.0,
Blood'less' Revolution,history,6.6,343.0,103.0
Hope of Escape,history,7.4,53.0,91.0
Seize Them!,history,5.1,1314.0,91.0
Lost Nation,history,7.1,12.0,
Ataturk II: 1881-1919,history,8.8,2892.0,141.0
The Return,history,6.3,13231.0,116.0
Ae Watan Mere Watan,history,4.7,1424.0,133.0
Being Maria,history,6.1,1106.0,100.0
Who Killed Lawrence of Arabia?,history,6.1,37.0,100.0
"From Hilde, with Love",history,6.9,1479.0,125.0
3 Frauen 1 Streik,history,6.7,24.0,
Never Alone,history,6.9,628.0,85.0
The Fourth Wall,history,6.2,262.0,116.0
Die Ermittlung: Oratorium in 11 Gesängen,history,7.6,190.0,241.0
In the Fire of War,history,6.4,387.0,115.0
I am Al Ittihad,history,4.9,234.0,90.0
Eden,history,6.5,34401.0,129.0
Ainda Somos os Mesmos,history,5.9,53.0,90.0
The Colonizer,history,6.2,11.0,77.0
Queer,history,6.4,27667.0,137.0
Operation Star,history,7.8,25.0,102.0
The Six Triple Eight,history,6.7,30693.0,127.0
Wieland,history,5.7,19.0,
Bonhoeffer: Pastor. Spy. Assassin.,history,6.2,4453.0,133.0
Gloria!,history,6.5,1248.0,106.0
Solos en la noche,history,4.9,111.0,88.0
Once Upon a Time in Indochine,history,5.9,19.0,113.0
Grand Tour,history,6.5,2589.0,129.0
Small Things Like These,history,6.7,34012.0,98.0
Public Defender,history,8.0,21.0,
"Arlempdes, la légende du premier château de la Loire",history,6.8,14.0,121.0
Waves,history,7.8,2469.0,131.0
Six Nine Five (695),history,7.1,712.0,137.0
The Flood,history,6.3,459.0,101.0
Aliens Return,history,3.4,48.0,
No Chains No Masters,history,6.3,830.0,98.0
Ernest Cole: Lost and Found,history,7.3,492.0,105.0
Accident or Conspiracy: Godhra,history,7.0,898.0,133.0
Landesverräter,history,5.6,142.0,112.0
Uprising,history,6.6,6808.0,126.0
Red Poppies,history,4.7,389.0,122.0
September 5,history,7.1,34084.0,95.0
Escape from Germany,history,5.5,1264.0,97.0
Kupu-Kupu Kertas,history,6.4,243.0,113.0
Yatra 2,history,6.3,9716.0,132.0
Boat,history,5.4,1047.0,126.0
Vermiglio,history,6.9,6525.0,119.0
Einstein and the Bomb,history,6.2,4359.0,76.0
The Legacy of Mahaveer,history,7.4,68.0,
Yakamoz,history,6.6,22.0,96.0
The Devil's Bath,history,6.6,7726.0,121.0
Razakar: The Silent Genocide of Hyderabad,history,7.3,5458.0,166.0
The Children's Train,history,7.4,9352.0,106.0
Hancsovszky,history,7.8,21.0,
The Damned,history,5.4,1042.0,89.0
Ennio Doris - C'è anche domani,history,4.7,119.0,90.0
Aquarius,history,6.6,29.0,75.0
Bahodir Yalangto'sh,history,6.4,202.0,
In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,history,8.0,222.0,363.0
Three Men Cannot Hide Under a Pot Lid,history,8.3,12.0,85.0
Fast Track: Taking on the Speedway,history,9.4,10.0,35.0
Limonov: The Ballad of Eddie,history,5.8,1340.0,138.0
Ecce Homo Brâncoveanu,history,6.9,170.0,92.0
Color of Victory,history,6.1,40501.0,157.0
Powstaniec 1863,history,5.2,160.0,115.0
Apocalypse in the Tropics,history,7.5,2464.0,110.0
L'orizzonte chiuso,history,8.0,7.0,
Louise Violet,history,6.6,460.0,108.0
Lavender Men,history,7.2,18.0,99.0
A Heart Is Always Red,history,7.1,417.0,103.0
Kasoombo,history,8.3,644.0,156.0
Patrice: The Movie,history,8.0,303.0,102.0
Goebbels and the Führer,history,6.7,3163.0,135.0
Bardejov,history,4.9,201.0,85.0
Shivrayancha Chhava,history,6.9,459.0,80.0
This Is the Goat!,history,5.4,423.0,100.0
"True Chronicles of the Blida Joinville Psychiatric Hospital in the Last Century, when Dr Frantz Fanon Was Head of the Fifth Ward between 1953 and 1956",history,6.6,81.0,90.0
The Great Ambition,history,7.0,1351.0,123.0
Synthwave Horror: Night of the Living Dead,history,6.4,8.0,
George of Cappadocia,history,5.7,183.0,119.0
Memoir Seorang Guru,history,7.1,149.0,120.0
North Korea: Dark Secrets,history,5.8,87.0,79.0
A Bit of a Stranger,history,7.2,51.0,90.0
Zeitgeist: Requiem,history,9.2,86.0,90.0
The Andersson Brothers,history,7.2,154.0,84.0
Bach - Ein Weihnachtswunder,history,6.3,223.0,89.0
C'era una volta il Derby Club,history,7.4,17.0,90.0
The Shadow,history,6.3,382.0,90.0
The Birth of Korea,history,4.6,140.0,101.0
Blur: To the End,history,7.2,865.0,104.0
Lafran,history,8.4,20.0,99.0
ABBA: Against the Odds,history,7.3,770.0,90.0
Battlefield,history,6.1,785.0,104.0
Lulu in Turin,history,8.5,6.0,76.0
Kingdom 4: Return of the Great General,history,7.2,1657.0,145.0
Guadalupe: Mother of Humanity,history,6.8,43.0,102.0
In Search of a Mixed Identity,history,7.8,18.0,93.0
Bushido,history,6.8,666.0,129.0
Pol Pot Dancing,history,7.1,17.0,102.0
House of Ga'a,history,4.0,501.0,119.0
Onihei Hankacho: Ketto,history,6.4,19.0,111.0
The Canal Map of Britain,history,6.8,10.0,59.0
In Her Place,history,6.3,7307.0,96.0
Apollo 13: Survival,history,7.4,2799.0,98.0
An American Bombing: The Road to April 19th,history,6.8,995.0,107.0
Die Mutigen 56 - Deutschlands längster Streik,history,6.6,12.0,90.0
"Georges Pompidou, la cruauté du pouvoir",history,7.2,8.0,104.0
The Commandant's Shadow,history,7.4,1235.0,103.0
Chernyy zamok,history,5.0,69.0,115.0
Meet the Roman Emperor with Mary Beard,history,7.7,59.0,59.0
Krigsvarsleren,history,7.7,9.0,55.0
Meeting with Pol Pot,history,6.5,624.0,112.0
Dogman Territory: Werewolves in the Land Between the Lakes,history,5.5,42.0,
Sinhabahu,history,5.9,105.0,112.0
Witches,history,7.4,1528.0,90.0
America's Burning,history,5.6,134.0,83.0
Liza: A Truly Terrific Absolutely True Story,history,7.5,668.0,104.0
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,history,8.1,698.0,174.0
A Country Called Ghana,history,6.2,43.0,87.0
Lula,history,5.4,233.0,90.0
Riefenstahl,history,7.2,1602.0,115.0
Something to Stand for with Mike Rowe,history,8.5,335.0,96.0
Panjab Files,history,8.1,40.0,117.0
Mysteries of the Terracotta Warriors,history,6.7,1871.0,77.0
