movie_name,genre,rating,votes,duration_minutes
Amityville: Where the Echo Lives,horror,1.5,560.0,89.0
The Windigo,horror,4.6,747.0,85.0
Salem's Lot,horror,5.6,39556.0,114.0
Alone in the Night,horror,3.8,12.0,
Get Away,horror,5.3,10243.0,86.0
Bloodspawn,horror,5.1,33.0,76.0
The Mermaid,horror,7.8,35.0,105.0
Vertical,horror,4.9,166.0,111.0
Slasher House 3,horror,4.5,80.0,
Vampire Zombies... From Space!,horror,6.8,255.0,98.0
Grafted,horror,5.6,3242.0,96.0
Christmas Slasher,horror,4.8,16.0,
Run!,horror,3.3,107.0,86.0
The Exorcism,horror,4.2,12837.0,95.0
Rust 3,horror,4.2,50.0,
Continente,horror,4.9,114.0,115.0
Water Horse,horror,5.2,334.0,85.0
The Night of the Harvest,horror,4.4,512.0,126.0
Problematic Intentions,horror,4.6,16.0,90.0
Daemon Mind,horror,3.8,60.0,94.0
Appetite for Sin,horror,5.1,74.0,
Welcome to Kittytown,horror,7.4,14.0,88.0
Los visitados,horror,7.0,8.0,
Anaconda,horror,4.9,1006.0,84.0
Love Me Dead,horror,5.1,121.0,87.0
Model House,horror,4.0,1162.0,85.0
Hauntology,horror,3.7,398.0,103.0
Spending Some Time Together,horror,6.9,31.0,146.0
Lipstick on the Glass,horror,4.1,14.0,116.0
Cellar Door,horror,5.2,5768.0,97.0
Tenement,horror,4.5,188.0,88.0
Meathook,horror,4.8,53.0,102.0
Creepypasta: Deathnet,horror,3.3,93.0,71.0
They Turned Us Into Killers,horror,2.7,281.0,86.0
Krazy House,horror,4.8,1654.0,89.0
Cuckoo,horror,5.7,32591.0,102.0
Bhootpori,horror,5.8,230.0,110.0
Do Not Open,horror,2.5,338.0,91.0
Hold Your Breath,horror,5.3,9703.0,94.0
Obscura,horror,3.6,15.0,
Devils Stay,horror,4.8,470.0,95.0
Shell,horror,4.9,2606.0,100.0
Cult of Blood,horror,3.3,92.0,
Bigfoot,horror,5.5,27.0,
Bad Things,horror,6.4,43.0,
Halloween: Season of the Boogeyman,horror,7.3,37.0,
Staycation,horror,6.9,136.0,94.0
Cholo Zombies,horror,3.5,145.0,96.0
Influenza,horror,4.2,36.0,98.0
Alien Country,horror,4.6,496.0,96.0
Creep Encounters,horror,2.5,155.0,72.0
Shadows,horror,6.8,22.0,75.0
The Book,horror,4.4,38.0,
Advent,horror,4.7,75.0,77.0
Aphasia,horror,4.8,21.0,
Apocalypse Love,horror,7.3,14.0,
Swap,horror,2.8,501.0,86.0
Succubus,horror,3.6,990.0,96.0
Whisper of the Witch,horror,3.8,447.0,95.0
Consumed,horror,3.7,827.0,89.0
On a Dark and Bloody Ground,horror,8.5,8.0,
Salt Along the Tongue,horror,5.3,46.0,113.0
This Never Happened,horror,4.7,396.0,90.0
Secret Shadow,horror,7.2,20.0,82.0
A Quiet Place: Day One,horror,6.3,168475.0,99.0
Torture the Flesh,horror,5.8,45.0,
The Twelve Step Strangler,horror,5.3,9.0,
Bed of Nails,horror,4.6,32.0,104.0
Dying to Love You,horror,3.8,47.0,120.0
Fluxx,horror,4.4,206.0,100.0
Night Shift,horror,5.1,1012.0,107.0
Happy Halloween,horror,6.2,23.0,96.0
Bloody Bridget,horror,6.8,57.0,81.0
Cursed,horror,4.0,187.0,81.0
Succubus,horror,4.7,1967.0,103.0
Amp House Massacre,horror,3.9,225.0,80.0
The Business Women's Club,horror,4.8,125.0,95.0
Bloodline Killer,horror,4.1,5461.0,105.0
The Mitchin Murders,horror,5.0,102.0,78.0
Under Paris,horror,5.2,38782.0,104.0
Bigfoot Exorcist,horror,2.7,243.0,70.0
The Girl in the Trunk,horror,3.4,362.0,90.0
Go Away,horror,4.1,252.0,
Tarot,horror,4.8,36307.0,92.0
Der Dritte Gast,horror,3.3,43.0,73.0
Lachrymose Primrose,horror,6.3,42.0,97.0
The Haunting of Lanquetot,horror,3.7,10.0,96.0
Trolled,horror,4.2,30.0,80.0
Went Up the Hill,horror,5.9,328.0,100.0
Terrornet,horror,3.7,100.0,88.0
The Severed Sun,horror,4.9,549.0,80.0
Apartment 7A,horror,5.9,19729.0,107.0
Horny Teenagers Must Die!,horror,3.1,271.0,84.0
Never Let Go,horror,5.4,18198.0,101.0
The Lost Daughter,horror,5.3,425.0,99.0
Lopaliki Ra Chepta,horror,6.6,1555.0,112.0
The Master and Margarita,horror,7.1,6300.0,156.0
The Beast Within,horror,4.3,6096.0,97.0
The Bunker,horror,4.2,457.0,92.0
Harvest,horror,5.5,21.0,
The Hostage,horror,4.2,31.0,87.0
Tragic,horror,9.0,21.0,96.0
Ba,horror,5.5,191.0,79.0
Levizia,horror,3.3,20.0,
Cold Blows the Wind,horror,5.5,819.0,85.0
Daft State,horror,5.3,86.0,
The Last Breath,horror,4.7,2934.0,96.0
Passages of Nexus,horror,5.0,346.0,108.0
Possessions,horror,3.8,946.0,89.0
Time Cut,horror,5.1,21974.0,91.0
Night Games,horror,5.6,292.0,99.0
The Vampire and the Vigilante,horror,3.5,61.0,75.0
Killington,horror,2.8,201.0,87.0
Shelby Oaks,horror,5.4,9318.0,91.0
The Damned,horror,5.7,7689.0,89.0
Re:Human,horror,5.7,39.0,108.0
Hellhounds,horror,3.3,199.0,81.0
Waltz,horror,6.7,51.0,
Werewolves,horror,4.4,9425.0,93.0
Halloween: Evil Lives,horror,3.6,125.0,
TapewormZ,horror,5.2,31.0,
I Heard You Buy Souls,horror,2.3,57.0,88.0
Winter Island,horror,4.5,232.0,102.0
The Director's Cut,horror,5.4,22.0,82.0
Witch,horror,4.8,1472.0,107.0
For Sale,horror,4.9,706.0,115.0
