movie_name,genre,rating,votes,duration_minutes
The Perfect Shadow,Drama,8.3,13.0,82
In the Land of the Blind,\N,,,\N
Universal Groove,"Drama,Fantasy",5.6,175.0,74
The Killer's Game,"Action,Comedy,Thriller",5.8,19950.0,104
I giganti del cielo,Documentary,,,\N
The Promise of Perfume,Documentary,5.7,10.0,57
Nefarious,"Crime,Thriller",7.3,62.0,85
On Moral Grounds,"Documentary,History,War",8.4,8.0,74
American Surfrider,\N,,,115
"L'homme au bâton, une légende créole",Comedy,,,81
Rain Falls from Earth: Surviving Cambodia's Darkest Hour,Documentary,8.0,14.0,\N
Maybe It's True What They Say About Us,"Drama,Thriller",6.2,129.0,94
The Problem with People,Comedy,5.7,696.0,102
The Dog Thief,Drama,7.2,154.0,90
The Probe,Drama,7.2,16.0,58
Fear and Love: The Story of the Exorcist,Documentary,8.4,69.0,61
Amityville: Where the Echo Lives,Horror,1.5,560.0,89
Offline: O Filme,"Horror,Thriller",,,69
Art of Eight Limbs,"Action,Thriller",4.0,370.0,101
Lady Scorpions,"Action,Crime",3.6,393.0,101
The Lockdown,"Action,Crime,Drama",4.4,663.0,117
The Windigo,"Horror,Thriller",4.6,747.0,85
The Undertaker's Wife,Thriller,6.5,24.0,\N
Secret Ways of a Whale Shark,Documentary,6.2,6.0,50
Lavinya,"Drama,Thriller",,,100
Perspectiva,"Drama,Sci-Fi",6.2,101.0,90
Megalopolis,"Drama,Fantasy,Sci-Fi",4.7,40597.0,138
Loud Love,Documentary,8.6,17.0,87
Obesity America's Other Enemy,Documentary,,,90
Pet Farm,Documentary,7.2,40.0,83
"Meeting You, Meeting Me",Drama,9.0,29.0,85
Weirdo: The Story of Five Eight,Documentary,9.7,9.0,103
Young Lion of the West,"Action,Comedy,Crime",5.4,116.0,93
Goodrich,"Comedy,Drama",6.3,7358.0,110
Once Upon a Time in Hollyweird,Thriller,1.9,162.0,90
Being Robin,Comedy,5.8,14.0,\N
Suicide by Cop,Thriller,9.0,52.0,\N
"Il bambino, i due furfanti e la strega","Drama,Horror",,,95
Bureau 749,"Action,Adventure,Drama",3.8,689.0,123
Still Stares,Documentary,7.2,10.0,75
Teatro del Desencuentro,"Documentary,Drama",,,64
Swimming Home,Drama,4.7,569.0,99
The Mick and the Trick,"Action,Comedy,Crime",5.0,92.0,96
The Girl with the Needle,"Crime,Drama,History",7.5,18743.0,123
The Refugee,Drama,7.5,257.0,101
Shook,Drama,7.1,103.0,113
Joy,"Biography,Drama,History",7.1,11273.0,115
Salem's Lot,"Horror,Thriller",5.6,39556.0,114
Office Madness,Comedy,5.7,10.0,\N
Le Plein Potentiel,Documentary,7.7,8.0,80
Love & Vodka,"Comedy,Romance",,,83
Riviera,Drama,6.4,40.0,84
Concerto for Abigail,Drama,7.1,380.0,82
The Fix,"Action,Sci-Fi",4.7,2047.0,98
No Perfect Love,"Drama,Romance",,,\N
Unidad 23: Recargada,"Action,Comedy",,,\N
Nobody Leaves 'til Jesus Comes,"Comedy,Drama",7.2,15.0,\N
Alone in the Night,"Horror,Thriller",3.8,12.0,\N
"Inactive, America's Silent Killer",Documentary,,,\N
"Lumière, l'aventure continue",Documentary,7.7,217.0,104
"Love, Danielle","Comedy,Drama,Fantasy",8.7,63.0,79
For Prophet,"Comedy,Drama,Family",5.3,119.0,105
Barroz: Guardian of Treasures,"Action,Adventure,Fantasy",3.3,1124.0,155
Tacoma,"Drama,Sci-Fi,Thriller",3.3,203.0,103
All Illusions Must Be Broken,Documentary,7.7,37.0,89
Monarch City,Drama,7.2,16.0,70
Bob Mackie: Naked Illusion,\N,8.0,62.0,105
Durazno Sangrando,Drama,,,\N
Elli and Her Monster Team,"Adventure,Animation,Family",4.9,139.0,86
Silent Notes,Drama,8.3,17.0,\N
Pizzodyssey,Comedy,,,\N
Who Am I and Where Do I Belong?,"Comedy,Musical",,,\N
Baraat Bandi,Comedy,,,\N
Toll House Horrors,"Drama,Horror",,,\N
Breaking Boundaries,Documentary,8.5,32.0,76
The Place in Between,Drama,8.4,15.0,\N
Thelma the Unicorn,"Adventure,Animation,Comedy",5.7,3263.0,93
Youn'G,"Action,Comedy,Crime",8.7,52.0,\N
Dan Hawk Psychic Detective,Thriller,4.3,41.0,68
The Works,Documentary,,,\N
Get Away,"Comedy,Horror",5.3,10243.0,86
Mafia Wars,"Action,Thriller",3.6,370.0,98
Heartbreak and Lullabies,Thriller,,,\N
The Most Precious of Cargoes,"Animation,Drama",7.1,2063.0,81
Dante's Divine Comedy,"Animation,Fantasy,Musical",,,\N
X Trillion,Documentary,6.7,65.0,68
The Clearing,"Drama,Sci-Fi",4.0,39.0,\N
I'm 'George Lucas': A Connor Ratliff Story,Documentary,7.9,49.0,90
A Song from the Dark,"Drama,Fantasy,Mystery",4.9,2234.0,105
Tori: Book 1,"Crime,Drama",,,78
Jenni,"Biography,Drama",6.1,59.0,113
Blasé L.A.,Drama,,,\N
Zozobra,"Drama,Romance",,,\N
Helen,Thriller,,,123
The Laundress,Drama,,,\N
Royal Runaways,"Comedy,Romance",4.4,161.0,116
Even the Score,"Action,Crime,Thriller",5.2,19.0,\N
A Game of Two Halves,"Drama,Family,Sport",7.1,25.0,100
The Headliner,Comedy,,,89
Aliya Basu Gayab Hai,Drama,5.9,2816.0,103
Abdo and Saneya,Drama,8.2,16.0,100
Mom's Coming,"Drama,Horror,Musical",,,122
O Anel de Eva,Drama,,,90
The Ballad of Davy Crockett,"Action,Biography,Drama",4.5,293.0,96
Hazard,Drama,7.0,1211.0,89
Love Song and Power,Drama,1.4,11.0,90
Tipppsy,"Adventure,Thriller",8.1,35.0,115
Outlaw Posse,"Drama,Western",4.2,590.0,108
Realm of Shadows,Thriller,3.8,187.0,85
Si Juki the Movie: Harta Pulau Monyet,"Adventure,Animation,Comedy",6.3,156.0,107
It Ends with Us,"Drama,Romance",6.3,95913.0,130
Forgetting the Many: The Royal Pardon of Alan Turing,Documentary,,,\N
Baldy for the Blind,Documentary,9.7,55.0,78
Sunnyfield Kids,"Adventure,Mystery,Thriller",8.5,7.0,\N
Savages,"Animation,Family",6.7,634.0,87
Sexagenarian,"Comedy,Drama",6.9,17.0,74
Arthur the King,"Adventure,Drama,Sport",7.0,37702.0,107
Impostor(es),Documentary,,,105
The Other Side of Infinity,Sci-Fi,6.2,7.0,96
All That We Love,Drama,7.8,58.0,90
Here's Yianni!,Drama,8.2,21.0,101
Cutthroat: The Race to Save Yellowstone,Documentary,7.6,17.0,\N
Hope's Hollywood Christmas,"Comedy,Family,Romance",4.7,134.0,90
Rob Peace,"Biography,Drama",6.6,2619.0,120
Persona,"Drama,Romance,Thriller",,,\N
What We Forgot,Documentary,,,\N
Claim the Sky: We Shall Overcome,Documentary,,,\N
"Destination: Hollywood, California","Action,Horror",,,\N
Vindication Swim,"Biography,Drama,History",5.9,241.0,98
Pepe,Drama,6.2,615.0,122
Bloodspawn,"Fantasy,History,Horror",5.1,33.0,76
Generation Debt: A Documentary About Student Loans,Documentary,,,\N
The Tony Millionaire Show,Documentary,,,99
The Mermaid,"Horror,Mystery,Thriller",7.8,35.0,105
Interstate,Thriller,3.9,253.0,84
Vertical,"Adventure,Fantasy,Horror",4.9,166.0,111
Levels,"Action,Sci-Fi,Thriller",5.0,1951.0,93
Mentors - Tony & Santi,Documentary,,,\N
Undefiled,"Drama,Thriller",6.1,93.0,115
Isolation,"Drama,Thriller",6.6,567.0,82
In the Ditch,Comedy,,,109
Luther: Never Too Much,"Biography,Documentary,Music",8.1,1054.0,101
Maidaan,"Biography,Drama,History",7.9,23306.0,181
Before Dawn,"Drama,History,War",5.4,1321.0,101
Marraia,Adventure,,,77
Just Like Me,Comedy,,,\N
So Shoot Me: The Life and Art of Michael Kanarek,Documentary,,,\N
Into Darkness,Action,,,\N
Audrey,Comedy,5.6,389.0,97
