movie_name,genre,rating,votes,duration_minutes
Luther: Never Too Much,music,8.1,1054.0,101.0
Rock Bottom,music,6.3,79.0,86.0
A Complete Unknown,music,7.3,110161.0,141.0
Breathe,music,8.5,51.0,
Midas Man,music,6.4,2050.0,112.0
Andhagan,music,6.6,1256.0,142.0
The Good Loan Sharks,music,5.0,79.0,122.0
The Sound of Hope,music,9.2,19.0,
Bloody Bridget,music,6.8,57.0,81.0
Bloody & Bruised: The Untold Story of the Back Room,music,8.3,20.0,
Better Man,music,7.5,42950.0,135.0
The Neon Highway,music,6.0,550.0,113.0
Soundtrack to a Coup d'Etat,music,7.8,3766.0,150.0
Diane Warren: Relentless,music,6.9,210.0,91.0
Garip Bülbül: Neset Ertas,music,6.4,26.0,130.0
The Piano Lesson,music,6.2,5485.0,127.0
Billy Preston: That's the Way God Planned It,music,8.6,34.0,105.0
Torch Song,music,6.6,36.0,90.0
The Entertainer,music,8.6,13.0,84.0
The Trainer,music,5.9,101.0,95.0
Música,music,6.4,5327.0,91.0
Eno,music,8.0,344.0,85.0
Find Me Falling,music,6.3,13688.0,93.0
The Greatest Hits,music,6.2,8523.0,94.0
Elton John: Never Too Late,music,6.6,2228.0,102.0
En La Caliente: Tales of A Reggaeton Warrior,music,7.2,8.0,85.0
Back to Black,music,6.3,29253.0,122.0
No Hamburg No Beatles,music,6.7,103.0,55.0
Bastards of Soul,music,9.7,7.0,80.0
Alien Weaponry: Kua Tupu Te Ara,music,6.6,12.0,99.0
Ethered,music,6.0,8.0,
Tears of Cem Karaca,music,7.2,2465.0,123.0
Maria,music,6.4,24095.0,124.0
Deaner '89,music,5.9,509.0,90.0
"Düsseldorf, Skåne",music,5.3,342.0,94.0
Off the Record,music,6.5,2216.0,95.0
The Colors Within,music,7.0,1575.0,101.0
Music by John Williams,music,8.2,5739.0,105.0
Boléro,music,6.5,1100.0,120.0
Amar Singh Chamkila,music,7.8,17137.0,145.0
Monsieur Aznavour,music,7.2,3739.0,133.0
Gloria!,music,6.5,1248.0,106.0
My Name Is Dingo,music,6.2,692.0,88.0
Munda Rockstar,music,6.2,366.0,126.0
Devo,music,7.6,1436.0,94.0
Songs Inside,music,8.6,17.0,93.0
Decibel,music,6.2,23.0,
Any Other Way: The Jackie Shane Story,music,7.9,101.0,98.0
Kneecap,music,7.6,23437.0,105.0
"Disco, Ibiza, Locomia",music,6.0,1694.0,104.0
Saturn Return,music,6.4,1389.0,109.0
Go Against the Flow,music,5.3,186.0,97.0
Je Paisa Bolda Hunda,music,8.4,134.0,136.0
Fly by Night,music,8.6,17.0,
Standing on the Shoulders of Kitties,music,6.2,796.0,111.0
Strange Abandoned Deranged,music,6.6,139.0,71.0
The Driver Era: Live at the Greek,music,8.7,13.0,
Karaoké,music,5.5,182.0,89.0
Do I Shock U Like Lightning,music,8.3,32.0,97.0
I Am: Celine Dion,music,7.7,8242.0,103.0
Beautiful Rebel,music,6.3,1107.0,112.0
Heavier Trip,music,6.1,1915.0,96.0
The Royal Edinburgh Military Tattoo 2023,music,7.6,9.0,100.0
Ruki vverkh!,music,5.5,295.0,102.0
Boxcutter,music,5.9,120.0,93.0
Por tus muertos,music,3.3,193.0,94.0
Tudo por um Pop Star 2,music,5.3,75.0,74.0
Extraordinary,music,6.5,176.0,103.0
A King Like Me,music,6.8,82.0,90.0
Art of a Hit,music,4.2,229.0,93.0
Bruce Springsteen's Nebraska: A Celebration in Words and Music,music,6.3,22.0,
Gaga Chromatica Ball,music,8.1,2146.0,117.0
Pet Shop Boys Dreamworld: The Greatest Hits Live at the Royal Arena Copenhagen,music,8.2,148.0,115.0
As We Speak,music,6.6,141.0,96.0
The Marching Band,music,7.4,6123.0,103.0
Peaches Goes Bananas,music,6.0,51.0,73.0
Tur s Ivanushkami,music,5.3,178.0,111.0
Hov1 4-ever,music,6.4,74.0,92.0
Húszra lapot,music,8.4,8.0,84.0
The World According to Allee Willis,music,8.0,125.0,97.0
Böhse Onkelz: 40 Jahre Onkelz - Live im Waldstadion,music,8.9,11.0,185.0
The Greatest Night in Pop,music,7.9,15948.0,96.0
It's Ok,music,8.2,541.0,90.0
Samsara,music,7.8,43.0,80.0
American Dream: The 21 Savage Story,music,8.2,28.0,
Songs from the Hole,music,5.6,158.0,97.0
This Is a Film About the Black Keys,music,8.2,29.0,90.0
Swamp Dogg Gets His Pool Painted,music,7.7,161.0,95.0
Faders Up: The John Aielli Experience,music,9.1,12.0,75.0
Mogwai: If the Stars Had a Sound,music,6.7,198.0,92.0
Ikaw pa rin ang pipiliin ko,music,5.0,111.0,100.0
American Mileage,music,7.7,10.0,121.0
Teaches of Peaches,music,7.0,299.0,102.0
Queen Rock Montreal,music,8.4,881.0,95.0
"Sabino, Palacio De Los Deportes",music,3.1,12.0,120.0
Glenn Fredly: The Movie,music,6.7,139.0,121.0
Oshi no Ko: The Final Act,music,6.1,248.0,129.0
Blue Fiddle,music,8.3,17.0,86.0
Helene Fischer: Rausch Live - Die Arena Tour,music,7.9,15.0,
Arno: Rock'n'Roll Godverdomme,music,7.7,32.0,90.0
Given the Movie: Hiiragi Mix,music,7.8,381.0,70.0
Country Rain,music,5.3,83.0,90.0
Son Sarki: Ahmet'in Türküsü,music,1.6,118.0,101.0
Stay Homas. La banda que no hauria d'existir,music,7.1,17.0,82.0
ABBA: Against the Odds,music,7.3,770.0,90.0
aespa: MY First page,music,8.4,36.0,110.0
SDL A Batalha Musical,music,7.4,43.0,102.0
Technoboys,music,5.3,1082.0,109.0
Harta Tahta Raisa,music,4.1,73.0,110.0
Don't Ever Stop,music,9.4,37.0,85.0
A Fragile Flower,music,6.9,1610.0,96.0
Canciones con Historia. Los Auténticos Decadentes,music,6.4,6.0,
SUGA: Agust D Tour 'D-DAY' the Movie,music,8.3,1254.0,84.0
Vavel the Band,music,8.4,24.0,77.0
Yani Spanos: A Life Behind the Marquee,music,7.7,21.0,118.0
Buzzy Noise,music,6.0,64.0,119.0
All Access to Rossa 25 Shining Years,music,8.7,66.0,91.0
"Iki Gözüm Ahmet, Sürgün",music,3.6,143.0,113.0
Paranoid: 25 Years,music,6.7,8.0,51.0
Electric Callboy: Tekkno - Live in Europe,music,8.8,23.0,86.0
ZEF: The Story of Die Antwoord,music,7.4,975.0,90.0
"Bryson, the Demon Slayer",music,5.1,14.0,59.0
Disco's Revenge,music,7.1,174.0,100.0
Aespa: World Tour in Cinemas,music,8.0,113.0,125.0
Efterklang: The Makedonium Band,music,7.7,17.0,81.0
Pearl Jam - Dark Matter,music,5.8,36.0,97.0
Yaremchuk: Matchless World of Beauty,music,8.6,530.0,92.0
Nada Será Como Antes,music,7.2,87.0,79.0
"Beyond, Ode to the Earth",music,6.7,125.0,77.0
The Beach Boys,music,7.1,2450.0,113.0
The Ballad of John and Yoko,music,8.7,23.0,101.0
Prodigies,music,6.6,388.0,101.0
Sanjalice,music,8.8,24.0,69.0
Chicago & Friends in Concert,music,9.1,15.0,149.0
Beethoven's Nine: Ode to Humanity,music,7.5,16.0,90.0
Il segreto di Liberato,music,7.3,242.0,90.0
Nova & Alice,music,5.9,515.0,110.0
Toxic Harmony,music,5.0,36.0,92.0
"Mon Laferte, te amo",music,6.8,221.0,77.0
Luiz Melodia: No Coração do Brasil,music,7.8,42.0,75.0
Avicii - I'm Tim,music,7.7,8121.0,95.0
Rebel Country,music,6.9,26.0,81.0
New Wave,music,7.1,84.0,88.0
Beethoven's Nine: Ode to Humanity,music,6.9,30.0,85.0
Stevie Van Zandt: Disciple,music,7.9,737.0,147.0
K3 en het lied van de zeemeermin,music,5.9,79.0,104.0
Music Shop Murthy,music,8.0,2361.0,127.0
Galaxies,music,5.7,9.0,105.0
Il était une fois Michel Legrand,music,7.6,80.0,109.0
Babymetal: World Tour 2023 - 2024 Legend - MM,music,9.6,13.0,180.0
Ya Boy Kongming! Road to Summer Sonia,music,7.1,53.0,119.0
Concierto para otras manos,music,7.7,22.0,79.0
GHOST: Rite Here Rite Now,music,8.6,2140.0,145.0
Roméo et Juliette à l'Opéra Bastille,music,6.2,14.0,171.0
Mystery 14 Human Requiem in Eleusis,music,8.0,6.0,70.0
The Merry Gentlemen,music,4.8,11272.0,87.0
Billie Eilish: Hit Me Hard and Soft - A Listening Experience,music,8.4,50.0,60.0
Carmina Burana: Dancing in Defiance,music,8.4,8.0,72.0
Misty - The Erroll Garner Story,music,7.3,55.0,100.0
This Is Benjamin Ingrosso: Part 1,music,6.3,347.0,
Virgo,music,4.7,133.0,87.0
Ol' Dirty Bastard: A Tale of Two Dirtys,music,6.7,255.0,86.0
Zim Zim Ala Kazim,music,3.4,118.0,100.0
Red Radio Over Shanghai,music,6.1,11.0,
Rory Gallagher: Calling Card,music,8.8,13.0,
Word,music,5.5,15.0,
Live from Detroit: The Concert at Michigan Central,music,7.0,14.0,60.0
Andrea Bocelli 30: The Celebration,music,8.2,197.0,148.0
100dB Indust-bag,music,7.3,13.0,61.0
The Extraordinary Miss Flower,music,6.6,87.0,73.0
The Pop Out: Ken & Friends,music,8.8,153.0,257.0
Coven of the Black Cube,music,7.3,29.0,97.0
LiSA LiVE is SMiLE ALWAYS -LANDER-,music,6.7,13.0,131.0
Born to Be Wild: The Story of Steppenwolf,music,7.1,73.0,100.0
Blur: Live at Wembley Stadium,music,8.0,119.0,128.0
Since Yesterday: The Untold Story of Scotland's Girl Bands,music,7.3,79.0,94.0
Mylene Farmer - Nevermore - Le Film,music,8.6,96.0,125.0
Bratya,music,2.9,152.0,103.0
Blackpink: World Tour - Born Pink,music,7.8,318.0,93.0
Sabaton: The Tour to End All Tours,music,8.9,70.0,102.0
Listen to the Voices,music,6.7,71.0,76.0
Jung Kook: I Am Still,music,8.2,7674.0,90.0
Love Live! Nijigasaki High School Idol Club Final Chapter Part 1,music,6.8,22.0,59.0
Seventeen Tour 'Follow' Again to Cinemas,music,7.6,122.0,103.0
The Way of the Rain: Hope for Earth,music,8.8,20.0,60.0
Pagtatag! The Documentary,music,7.5,326.0,73.0
Swan Lake,music,7.5,53.0,145.0
Imagine Dragons au Château de Chambord,music,7.6,9.0,95.0
"Dolly Parton: Bigger Hair, Bigger Heart",music,7.1,17.0,60.0
Western Lands,music,7.0,6.0,87.0
Reba McEntire: Country Gold,music,7.4,12.0,60.0
Stelios,music,7.2,2243.0,132.0
One to One: John & Yoko,music,7.2,1438.0,101.0
Usher: Rendezvous in Paris,music,7.9,57.0,88.0
Rhythm Masters: A Mickey Hart Experience,music,7.1,22.0,
Black Girls Rock!,music,7.9,18.0,
Larger Than Life: Reign of the Boybands,music,6.7,360.0,95.0
Michael Jackson: Ungloved,music,6.6,32.0,60.0
Janet Jackson: In Control,music,5.4,11.0,60.0
I Need You: 53 Years of the Band America,music,8.9,11.0,93.0
Hyperfocus: Tomorrow x Together VR Concert,music,9.7,16.0,60.0
Riv i hjertet,music,7.1,53.0,107.0
Tesa Man,music,7.9,15.0,60.0
Los Bunkers: MTV Unplugged,music,8.6,33.0,99.0
Cabaret Total,music,7.8,78.0,90.0
Louis Tomlinson: For Every Question Why - Live and Direct from Mexico City,music,9.3,13.0,
V-U2-UV an Immersive Concert Film at Sphere Las Vegas,music,8.7,10.0,82.0
For the One,music,8.8,57.0,
André Rieu's 2024 Maastricht Concert: Power of Love,music,7.6,13.0,180.0
Element of Crime in Wenn es dunkel und kalt wird in Berlin,music,7.0,113.0,94.0
One-Way Ticket to the Other Side,music,7.6,24.0,75.0
"RM: Right People, Wrong Place",music,8.2,468.0,80.0
John Williams: A Legacy in Sound,music,6.3,38.0,47.0
Taeyong: TY Track in Cinemas,music,8.4,248.0,96.0
The Flamenco Guitar of Yerai Cortés,music,7.2,473.0,95.0
Natanael Cano: Tumbado Tour 2024,music,2.3,8.0,197.0
Praslovan,music,8.2,37.0,90.0
Hyper: The Stevie Hyper D Story,music,8.8,32.0,91.0
Ressaca Bailada - Filme Concerto,music,6.8,6.0,54.0
Whitney Houston - The Concert for a New South Africa (Durban),music,8.4,162.0,115.0
PAPmusic - Animation for Fashion,music,1.4,327.0,85.0
La Joia: Bad Gyal,music,5.6,95.0,92.0
It's All Gonna Break,music,7.5,72.0,94.0
Louder: The Soundtrack of Change,music,6.2,135.0,61.0
Cao Bela,music,5.6,15.0,94.0
En kväll för LeMarc,music,7.8,8.0,88.0
Rhythm of a Flower,music,7.0,16.0,81.0
In the Shadow of the Horns,music,8.6,13.0,
A Few Moments of Cheers,music,6.9,92.0,68.0
"Stop, noch",music,4.6,9.0,97.0
Shawn Mendes: For Friends and Family Only (A Live Concert Film),music,9.3,20.0,
A Última Banda de Rock,music,7.4,14.0,120.0
Beatles '64,music,7.2,2997.0,106.0
The Decibels of the White Tower,music,8.4,12.0,107.0
Estopa: Concierto 25 aniversario,music,7.2,17.0,
Return of the King: The Fall and Rise of Elvis Presley,music,7.6,2244.0,90.0
Weezer's Voyage to the Blue Planet: The Concert Film,music,9.2,15.0,
IVE: The 1st World Tour in Cinema,music,7.3,67.0,111.0
Laufey's A Night at the Symphony: Hollywood Bowl,music,8.9,134.0,98.0
Yacht Rock: A Dockumentary,music,7.6,2307.0,95.0
Die Alchemie des Klaviers,music,7.0,12.0,90.0
Theodor: Israeli Opera Movie,music,6.4,6.0,120.0
For King + Country: A Drummer Boy Christmas - Live,music,8.3,193.0,90.0
"Lupicinio Rodrigues, Confissões de um Sofredor",music,7.7,10.0,99.0
The Sicilian Storyteller,music,8.0,15.0,125.0
Paradise,music,7.3,10.0,76.0
NCT Dream Mystery Lab: Dream()Scape in Cinemas,music,8.7,31.0,138.0
End Game: Battle Rap Part 1,music,8.1,312.0,87.0
End Game: Battle Rap Part 2,music,8.1,310.0,99.0
Sobreviure a l'incendi: El documental de ZOO,music,7.7,14.0,87.0
Isang himala,music,6.7,65.0,145.0
This Is Benjamin Ingrosso: Part 2,music,7.0,175.0,
If Jack Reacher Could Sing,music,8.0,15.0,31.0
Dread Zeppelin: A Song of Hope,music,7.9,13.0,86.0
Take That: This Life - Live in Concert,music,4.9,17.0,
Patchwork Family,music,9.8,8.0,56.0
13 Lentes De Um Final Feliz (Documentário Completo),music,9.4,52.0,410.0
Ateez World Tour: Towards the Light - Will to Power,music,8.7,64.0,268.0
Given 3: To the Sea,music,7.8,308.0,80.0
Electronic Body Movie,music,7.7,8.0,61.0
Going Underground,music,7.2,5.0,75.0
John Williams in Tokyo,music,7.8,74.0,108.0
Novogodniy ekspress,music,5.6,12.0,47.0
"BanG Dream! It's MyGO!!!!!: Spring Sunshine, Lost Cat",music,7.6,9.0,118.0
sanah NA STADIONACH,music,6.2,19.0,
La Grande,music,9.1,45.0,95.0
The Life Apart,music,6.3,245.0,100.0
Blues Run the Game: The Strange Tale of Jackson C. Frank,music,5.7,9.0,
Waiting For The Drop: Rise of the Superstar DJs,music,8.9,20.0,93.0
Amaltash,music,8.1,169.0,113.0
Bob Marley: One Love,music,6.2,37846.0,107.0
Aumenta que é Rock'n'Roll,music,7.1,320.0,112.0
The Idea of You,music,6.3,81129.0,115.0
Bass Impact,music,6.0,58.0,109.0
