movie_name,genre,rating,votes,duration_minutes
Joker: Folie à Deux,musical,5.2,176913.0,138.0
Mean Girls,musical,5.5,40078.0,112.0
The Best Friend,musical,6.2,235.0,96.0
Wicked,musical,7.3,219847.0,160.0
Spermageddon,musical,5.4,3413.0,80.0
The End,musical,5.4,3069.0,148.0
The Brink Of,musical,8.1,68.0,85.0
Bring on the Damned!,musical,4.6,67.0,114.0
Emilia Pérez,musical,5.4,111231.0,132.0
The Deb,musical,6.8,91.0,121.0
Heart Strings,musical,5.8,17.0,107.0
The Summer of Our Love,musical,5.7,61.0,113.0
Dandelion,musical,5.4,449.0,113.0
Fox & Hare Save the Forest,musical,5.9,255.0,71.0
Eco Village,musical,7.0,26.0,
Wieland,musical,5.7,19.0,
The Premiere,musical,6.5,50.0,106.0
Petta Rap,musical,3.4,1720.0,123.0
Polvo serán,musical,6.7,358.0,106.0
Pattaapakal,musical,2.6,235.0,104.0
Civil Christmas,musical,4.1,62.0,
The Opera! Arias for an Eclipse,musical,6.2,168.0,106.0
Queens of Drama,musical,6.1,289.0,114.0
Varshangalkku Shesham,musical,6.6,5416.0,166.0
"Angela Aguilar, Bolero: Documental",musical,2.9,14.0,
El Sobreviviente Elizalde,musical,7.1,23.0,
Sisters and Neighbors!,musical,6.4,224.0,105.0
Under Streetlights,musical,8.9,18.0,90.0
How Could I Live Without You?,musical,6.5,1689.0,105.0
Everybody Loves Touda,musical,6.4,620.0,102.0
Victory,musical,6.5,422.0,120.0
Benjamin Bat,musical,7.9,43.0,75.0
Gaga Chromatica Ball,musical,8.1,2146.0,117.0
Iyus Jenius,musical,9.5,45.0,82.0
Hov1 4-ever,musical,6.4,74.0,92.0
Kajolrekha,musical,6.3,207.0,156.0
Couples to Hell,musical,5.4,10.0,94.0
Eating Me Up,musical,8.0,298.0,104.0
In the Nguyen Kitchen,musical,6.3,166.0,99.0
Magic,musical,7.3,9.0,90.0
Trapezium,musical,6.1,203.0,95.0
Sem vergonha,musical,7.0,8.0,
Shannon Matthews the Musical the Movie,musical,7.2,223.0,91.0
My Favourite Things: The Rodgers & Hammerstein 80th Anniversary Concert,musical,7.8,76.0,
"Bryson, the Demon Slayer",musical,5.1,14.0,59.0
Rangde,musical,8.6,8.0,143.0
DJ Marwar,musical,6.8,22.0,
Ishttaragam,musical,8.9,114.0,
Mondongo: Kunst der Farbe,musical,5.4,6.0,90.0
Bonnie and Clyde: The Musical,musical,6.9,128.0,150.0
Het Feest van Tante Rita 2 - De Chocobom,musical,6.7,25.0,84.0
Sooryavansham,musical,7.0,428.0,137.0
Peas and Carrots,musical,7.1,36.0,96.0
Lokananta,musical,6.2,15.0,
A Tapestry of a Legendary Land,musical,6.8,60.0,89.0
El musical de los 80s y los 90s. La película,musical,6.7,9.0,80.0
Solo Town,musical,6.6,27.0,103.0
Sight & Sound Presents: Daniel LIVE,musical,8.7,36.0,
Krispy Rishtey,musical,6.5,73.0,133.0
Between the Lines,musical,8.8,20.0,
Call Me Agnes,musical,6.9,20.0,94.0
"Kiss Me, Kate: The Musical",musical,7.1,134.0,161.0
Abá e Sua Banda,musical,7.0,30.0,84.0
Joli joli,musical,5.5,186.0,116.0
Canciones con Historia. Fonseca,musical,5.4,6.0,
Theodor: Israeli Opera Movie,musical,6.4,6.0,120.0
(S)KiDS,musical,8.0,176.0,85.0
First Nights at Freddy's,musical,8.8,34.0,98.0
Isang himala,musical,6.7,65.0,145.0
The Clashing Elements: Saviors of the Multiverse,musical,7.2,10.0,91.0
Peaceful Lights,musical,8.5,24.0,86.0
Navidad Catracha 2: El Origen,musical,8.6,12.0,90.0
KorimDick,musical,8.0,8.0,21.0
Girl from the North Country,musical,6.2,75.0,132.0
Chainsaws Were Singing,musical,6.8,509.0,117.0
Indian 2,musical,3.8,16891.0,
