movie_name,genre,rating,votes,duration_minutes
A Song from the Dark,mystery,4.9,2234.0,105.0
Sunnyfield Kids,mystery,8.5,7.0,
The Mermaid,mystery,7.8,35.0,105.0
"I, the Song",mystery,7.2,65.0,113.0
Water Horse,mystery,5.2,334.0,85.0
Problematic Intentions,mystery,4.6,16.0,90.0
The Legend of the Vagabond Queen of Lagos,mystery,7.6,62.0,100.0
Lunacy,mystery,5.1,75.0,77.0
Los visitados,mystery,7.0,8.0,
The Washer,mystery,6.5,13.0,90.0
Cellar Door,mystery,5.2,5768.0,97.0
The Star City Murders,mystery,4.0,162.0,79.0
The Private Eye,mystery,5.5,283.0,115.0
Cuckoo,mystery,5.7,32591.0,102.0
The Victims,mystery,5.8,104.0,99.0
Sragaal,mystery,8.5,20.0,140.0
Hold Your Breath,mystery,5.3,9703.0,94.0
Slingshot,mystery,5.7,11547.0,108.0
Devils Stay,mystery,4.8,470.0,95.0
Corridor,mystery,6.0,12.0,108.0
Chapel,mystery,3.2,215.0,92.0
Haunting Trophies,mystery,6.1,104.0,150.0
Anno 2020,mystery,8.9,34.0,145.0
The Twelve Step Strangler,mystery,5.3,9.0,
A Cover-Up,mystery,5.4,74.0,121.0
Dark Night of the Soul,mystery,3.1,195.0,81.0
Amp House Massacre,mystery,3.9,225.0,80.0
"I'm Okay, We're Okay",mystery,6.6,8.0,107.0
The Business Women's Club,mystery,4.8,125.0,95.0
Anweshippin Kandethum,mystery,7.4,11977.0,142.0
Bloodline Killer,mystery,4.1,5461.0,105.0
A Woman with a Wooden Cart,mystery,3.2,16.0,
Tears of Blood,mystery,9.7,8.0,88.0
Go Away,mystery,4.1,252.0,
Midnight Taxi,mystery,4.3,131.0,97.0
Never Let Go,mystery,5.4,18198.0,101.0
The Lost Daughter,mystery,5.3,425.0,99.0
It's What's Inside,mystery,6.6,49029.0,103.0
Snow Valley,mystery,2.8,364.0,75.0
Tragic,mystery,9.0,21.0,96.0
Levizia,mystery,3.3,20.0,
Cold Blows the Wind,mystery,5.5,819.0,85.0
Daft State,mystery,5.3,86.0,
Passages of Nexus,mystery,5.0,346.0,108.0
Time Cut,mystery,5.1,21974.0,91.0
Blink Twice,mystery,6.5,122476.0,102.0
La función,mystery,6.0,10.0,93.0
Can You Hear Me?,mystery,5.3,50.0,93.0
The Manifestation,mystery,3.3,219.0,84.0
The Damned,mystery,5.7,7689.0,89.0
Hidden Memories,mystery,5.8,34.0,84.0
The Director's Cut,mystery,5.4,22.0,82.0
The Monster Beneath Us,mystery,4.9,535.0,103.0
ClearMind,mystery,4.1,2276.0,85.0
Reunion,mystery,5.6,5020.0,90.0
American Dirge,mystery,9.7,6.0,81.0
Samhain,mystery,7.1,9.0,
Merry Christmas,mystery,6.9,30371.0,144.0
Night Curfew,mystery,8.6,9.0,
Beline,mystery,5.4,1083.0,88.0
Caddo Lake,mystery,6.8,51693.0,103.0
I Saw the TV Glow,mystery,5.8,42440.0,100.0
Simbaa,mystery,5.6,2174.0,121.0
Tenant,mystery,3.0,218.0,99.0
Haze,mystery,6.7,58.0,76.0
Kishkindha Kaandam,mystery,8.0,15285.0,133.0
Inti Number 13,mystery,7.8,1069.0,127.0
Tatkshan,mystery,8.4,22.0,
Not One and Not Two,mystery,6.0,8.0,72.0
What Happened to Suzy,mystery,6.1,121.0,94.0
Yaa Devi Sarva Bhuteshu,mystery,8.7,9.0,119.0
A Sacrifice,mystery,5.0,6995.0,94.0
Gunfighter Paradise,mystery,9.0,21.0,
9 Windows,mystery,3.7,356.0,82.0
Depravity,mystery,4.3,1465.0,117.0
Ellige Payana Yavudo Daari,mystery,7.2,271.0,134.0
Best Man Dead Man,mystery,6.3,62.0,83.0
Last Party,mystery,7.9,28.0,
Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,mystery,6.2,3103.0,102.0
Soch - A perception,mystery,8.2,42.0,
Somewhere Confidential,mystery,9.4,19.0,
Scopophobia,mystery,4.4,109.0,100.0
Dark Feathers: Dance of the Geisha,mystery,6.2,1288.0,93.0
Welcome to the Game,mystery,6.0,73.0,90.0
Crescent City,mystery,3.9,1592.0,103.0
Drugstore June,mystery,5.4,2094.0,91.0
Homeboy,mystery,6.5,24.0,
Love Lies Bleeding,mystery,6.6,62212.0,104.0
American Star,mystery,5.5,2725.0,107.0
Force of Nature,mystery,5.9,9161.0,120.0
