movie_name,genre,rating,votes,duration_minutes
Royal Runaways,romance,4.4,161.0,116.0
It Ends with Us,romance,6.3,95913.0,130.0
Hope's Hollywood Christmas,romance,4.7,134.0,90.0
Spaceman,romance,5.7,45965.0,107.0
Grafted,romance,5.6,3242.0,96.0
Mazaiyil Nanaigiren,romance,8.5,399.0,149.0
Qalb,romance,6.5,2451.0,147.0
Intoxicated by Love,romance,7.2,15086.0,118.0
The Little Things,romance,7.8,48.0,90.0
Tauba Tera Jalwa,romance,5.4,17.0,130.0
Last ExMas,romance,5.4,445.0,84.0
The Best Friend,romance,6.2,235.0,96.0
Meeting Ms. Leigh,romance,4.7,149.0,117.0
Mehabooba,romance,7.0,246.0,147.0
The Private Eye,romance,5.5,283.0,115.0
A Wall Away,romance,4.9,79.0,90.0
Wicked,romance,7.3,219847.0,160.0
Lovefool,romance,5.1,275.0,87.0
Role Play,romance,5.5,20149.0,100.0
"Love, Sitara",romance,5.3,318.0,105.0
Addy Daddy,romance,7.1,37.0,118.0
Christmas Overtime,romance,5.2,92.0,92.0
Swap,romance,2.8,501.0,86.0
Twenty-Nine,romance,5.9,11.0,
Nobody Likes Me,romance,4.6,128.0,105.0
Tuesday,romance,4.6,12.0,
The Southern Chronicles,romance,8.6,3375.0,120.0
The Haunting of Lanquetot,romance,3.7,10.0,96.0
Asheq,romance,5.5,110.0,
Assisting Venus,romance,6.1,29.0,100.0
Gone Running,romance,7.0,4911.0,105.0
Hell City,romance,8.5,31.0,90.0
Murphy,romance,6.9,2417.0,136.0
Players,romance,5.7,12675.0,105.0
Can You Hear Me?,romance,5.3,50.0,93.0
On Swift Horses,romance,6.0,5109.0,119.0
Explosions in My Heart,romance,6.5,69.0,105.0
Switch Up,romance,8.1,35.0,105.0
5lbs of Pressure,romance,5.3,1923.0,111.0
Young Hearts,romance,7.9,7782.0,99.0
For Regn,romance,3.7,568.0,140.0
Reloaded 2,romance,6.6,1428.0,45.0
Hearts Creek,romance,5.8,151.0,90.0
Unarvugal Thodarkadhai,romance,6.3,54.0,111.0
Shooting My Life's Script,romance,6.2,356.0,95.0
O2,romance,6.7,8541.0,105.0
Love... Reconsidered,romance,4.1,149.0,88.0
Pher Mamlaa Gadbad Hai,romance,5.2,35.0,126.0
Ninaivellam Neeyada,romance,5.2,31.0,155.0
Do Aur Do Pyaar,romance,6.4,12361.0,140.0
Love by Request,romance,5.9,146.0,85.0
Lukochuri,romance,7.0,11.0,127.0
Ahl Al Kahf,romance,5.2,349.0,120.0
Licença para Enlouquecer,romance,7.5,17.0,95.0
Kaaduvetty,romance,3.2,152.0,157.0
"Aire, Just Breathe",romance,4.7,227.0,98.0
Take My Hand,romance,6.2,498.0,102.0
How to Date Billy Walsh,romance,5.2,4203.0,98.0
Letters at Christmas,romance,3.3,245.0,84.0
This Time Next Year,romance,5.7,2971.0,116.0
High Tide,romance,6.4,1180.0,101.0
Oneness,romance,9.3,22.0,115.0
Challengers,romance,7.0,171709.0,131.0
A Nice Indian Boy,romance,7.3,6632.0,96.0
Future Date,romance,5.5,139.0,82.0
¿Vienes o Voy?,romance,6.9,20.0,94.0
Peninsula Nights,romance,8.0,8.0,
Throuple,romance,6.5,85.0,92.0
Omenavarkaat,romance,6.9,262.0,84.0
Before We Forget,romance,7.0,302.0,108.0
Darkest Miriam,romance,5.7,476.0,87.0
Turn Me On,romance,5.6,1059.0,99.0
Chu Lay Aasman,romance,9.0,13.0,120.0
Girls Will Be Girls,romance,7.1,3213.0,118.0
