movie_name,genre,rating,votes,duration_minutes
A Game of Two Halves,sport,7.1,25.0,100.0
Arthur the King,sport,7.0,37702.0,107.0
Phantom of the Ice,sport,7.1,757.0,108.0
Loser is Winner,sport,7.4,569.0,90.0
Qajymuqan,sport,4.8,11.0,
Knock Out Blonde: The Kellie Maloney Story,sport,6.2,24.0,90.0
Gabru Gang,sport,8.5,216.0,123.0
Kulej. All That Glitters Isn't Gold,sport,6.4,387.0,148.0
American Warrior,sport,4.5,159.0,93.0
Rez Ball,sport,6.4,2865.0,111.0
Pierce,sport,6.4,180.0,109.0
Blue Star,sport,6.9,1618.0,166.0
You Gotta Believe,sport,5.9,1712.0,104.0
Heart of the Man,sport,6.1,31.0,85.0
Mr. & Mrs. Mahi,sport,5.9,16215.0,139.0
Puffing Iron,sport,8.1,22.0,98.0
Race for Glory: Audi vs. Lancia,sport,5.8,5778.0,109.0
Tracing the Divide,sport,7.9,196.0,84.0
Cup,sport,8.6,99.0,146.0
The Underdoggs,sport,5.6,4801.0,96.0
Fight Like a Girl,sport,8.7,46.0,118.0
Sweet Dreams,sport,5.5,1760.0,95.0
My Sunshine,sport,7.0,1702.0,90.0
Crakk: Jeetega... Toh Jiyegaa,sport,4.7,6586.0,154.0
I am Al Ittihad,sport,4.9,234.0,90.0
Lal Salaam,sport,4.5,1579.0,150.0
The Champion,sport,5.5,988.0,106.0
Hayatla Baris,sport,6.3,451.0,125.0
The Final: Attack on Wembley,sport,6.3,2690.0,82.0
Minor Leaguer,sport,5.1,107.0,77.0
Padu,sport,5.3,89.0,97.0
Friendly Fire,sport,5.9,75.0,105.0
Lubber Pandhu,sport,8.1,8580.0,146.0
GG (Good Game),sport,6.0,87.0,100.0
Gold,sport,7.8,89.0,126.0
Ice 3,sport,5.9,346.0,134.0
Little Wing,sport,6.1,987.0,100.0
Vijay 69,sport,6.1,1285.0,112.0
Wingless,sport,7.1,276.0,110.0
Game Changers,sport,4.7,251.0,78.0
Julie Keeps Quiet,sport,6.5,1483.0,100.0
Quote 10.35,sport,8.0,24.0,35.0
Off the Line,sport,7.8,20.0,
Dabaru,sport,7.9,685.0,131.0
Kill the Jockey,sport,6.3,2763.0,96.0
Eephus,sport,6.7,1955.0,99.0
Faster: Only one lap,sport,7.1,24.0,90.0
Runaway Wrestler,sport,7.2,22.0,105.0
V potoke trekh stikhiy,sport,5.1,46.0,85.0
Blue Lock: Episode Nagi,sport,6.6,3014.0,91.0
Daley,sport,7.7,194.0,102.0
Moon,sport,6.5,1006.0,92.0
V de Victor,sport,5.0,86.0,100.0
