movie_name,genre,rating,votes,duration_minutes
The Killer's Game,thriller,5.8,19950.0,104.0
Nefarious,thriller,7.3,62.0,85.0
Maybe It's True What They Say About Us,thriller,6.2,129.0,94.0
Art of Eight Limbs,thriller,4.0,370.0,101.0
The Windigo,thriller,4.6,747.0,85.0
The Undertaker's Wife,thriller,6.5,24.0,
Once Upon a Time in Hollyweird,thriller,1.9,162.0,90.0
Suicide by Cop,thriller,9.0,52.0,
Salem's Lot,thriller,5.6,39556.0,114.0
Alone in the Night,thriller,3.8,12.0,
Tacoma,thriller,3.3,203.0,103.0
Dan Hawk Psychic Detective,thriller,4.3,41.0,68.0
Mafia Wars,thriller,3.6,370.0,98.0
Even the Score,thriller,5.2,19.0,
Tipppsy,thriller,8.1,35.0,115.0
Realm of Shadows,thriller,3.8,187.0,85.0
Sunnyfield Kids,thriller,8.5,7.0,
The Mermaid,thriller,7.8,35.0,105.0
Interstate,thriller,3.9,253.0,84.0
Levels,thriller,5.0,1951.0,93.0
Undefiled,thriller,6.1,93.0,115.0
Isolation,thriller,6.6,567.0,82.0
Marine Drive,thriller,9.4,53.0,105.0
Madame Web,thriller,4.1,111338.0,116.0
Joshua: Imai Pol Kaka,thriller,4.5,595.0,130.0
The Killer,thriller,5.7,16229.0,126.0
Run!,thriller,3.3,107.0,86.0
The Exorcism,thriller,4.2,12837.0,95.0
"I, the Song",thriller,7.2,65.0,113.0
Water Horse,thriller,5.2,334.0,85.0
Joker: Folie à Deux,thriller,5.2,176913.0,138.0
Echo 8,thriller,5.8,1574.0,95.0
The Night of the Harvest,thriller,4.4,512.0,126.0
Problematic Intentions,thriller,4.6,16.0,90.0
Daemon Mind,thriller,3.8,60.0,94.0
Filthy Animals,thriller,5.0,158.0,96.0
Tauba Tera Jalwa,thriller,5.4,17.0,130.0
Relay,thriller,7.0,24062.0,112.0
Breathe,thriller,4.3,8190.0,93.0
Namak,thriller,4.5,13.0,75.0
Love Me Dead,thriller,5.1,121.0,87.0
Dead Sea,thriller,5.2,5900.0,88.0
Model House,thriller,4.0,1162.0,85.0
Fresh,thriller,6.5,109.0,98.0
Tenement,thriller,4.5,188.0,88.0
Altered Reality,thriller,5.4,1394.0,98.0
Dead Community Guild,thriller,8.0,17.0,65.0
We Work for the Dead,thriller,6.2,526.0,84.0
They Turned Us Into Killers,thriller,2.7,281.0,86.0
Oculi - Det eneste vitnet,thriller,7.4,17.0,92.0
Shame,thriller,6.9,39.0,103.0
Charlotte,thriller,6.0,230.0,86.0
The Womb,thriller,7.2,17.0,99.0
Cuckoo,thriller,5.7,32591.0,102.0
Serial Beauty,thriller,5.1,45.0,112.0
Ohne Wahrheit,thriller,9.2,74.0,133.0
Hovering Blade,thriller,6.1,252.0,107.0
Do Not Open,thriller,2.5,338.0,91.0
Scream Before You Die,thriller,3.9,23.0,
Hebzucht,thriller,3.0,18.0,93.0
Twisters,thriller,6.5,189208.0,122.0
Gunner,thriller,3.1,3279.0,106.0
The Union,thriller,5.5,57080.0,107.0
Slingshot,thriller,5.7,11547.0,108.0
Urbex,thriller,8.5,7.0,
Neo-Dome,thriller,6.0,28.0,15.0
Hocus Focus,thriller,7.9,20.0,85.0
Shell,thriller,4.9,2606.0,100.0
CTRL,thriller,6.2,6714.0,99.0
Hyde Out,thriller,5.7,28.0,
3Devi,thriller,9.2,23.0,126.0
Chapel,thriller,3.2,215.0,92.0
They Whisper,thriller,4.2,132.0,90.0
Haunting Trophies,thriller,6.1,104.0,150.0
Jardim dos Girassóis,thriller,5.4,29.0,93.0
Macho Man 3,thriller,6.2,15.0,
Uno,thriller,8.4,37.0,
Nina,thriller,5.7,446.0,105.0
Last Night on Earth,thriller,4.7,589.0,86.0
Succubus,thriller,3.6,990.0,96.0
Whisper of the Witch,thriller,3.8,447.0,95.0
This Never Happened,thriller,4.7,396.0,90.0
Mothers' Instinct,thriller,6.3,23273.0,94.0
Secret Shadow,thriller,7.2,20.0,82.0
River of Ghosts,thriller,2.9,313.0,102.0
Phoenix Street,thriller,6.1,42.0,
Zero,thriller,5.3,136.0,88.0
Trapped Inn,thriller,2.7,992.0,115.0
A Mistake,thriller,5.7,1514.0,101.0
Dangerous Rumors,thriller,7.2,60.0,
Sathyam,thriller,7.6,12.0,134.0
Day Labor,thriller,6.0,112.0,88.0
IRaH,thriller,6.2,315.0,140.0
Chacaleria,thriller,7.8,427.0,116.0
Succubus,thriller,4.7,1967.0,103.0
Un actor se prepara,thriller,7.2,6.0,82.0
The Lady of the Lake,thriller,2.5,203.0,87.0
Last Known Location,thriller,5.9,1478.0,110.0
Amp House Massacre,thriller,3.9,225.0,80.0
Eddie.,thriller,5.2,93.0,104.0
Abaddon's Pit,thriller,5.4,52.0,93.0
The Girl in the Trunk,thriller,3.4,362.0,90.0
Vanished Into the Night,thriller,5.2,5110.0,92.0
Go Away,thriller,4.1,252.0,
Everyone Is Going to Die,thriller,3.9,630.0,84.0
Yudhra,thriller,4.9,13892.0,142.0
Gadera,thriller,4.9,52.0,108.0
Der Dritte Gast,thriller,3.3,43.0,73.0
Bhai: Sleeper Cell,thriller,8.3,172.0,121.0
Bring Them Down,thriller,6.4,5532.0,106.0
Lachrymose Primrose,thriller,6.3,42.0,97.0
Wolfs,thriller,6.5,98768.0,108.0
Midnight Taxi,thriller,4.3,131.0,97.0
Trolled,thriller,4.2,30.0,80.0
Room 4D,thriller,2.3,10.0,130.0
Apartment 7A,thriller,5.9,19729.0,107.0
False Front,thriller,6.4,6.0,120.0
Never Let Go,thriller,5.4,18198.0,101.0
I Bring Joy,thriller,6.1,28.0,
Orah,thriller,7.0,27.0,95.0
They Are Watching,thriller,3.8,102.0,87.0
The Company Called Glitch That Nobody and Everybody Wanted,thriller,3.0,203.0,107.0
Parallel,thriller,5.3,2282.0,88.0
Snow Valley,thriller,2.8,364.0,75.0
Harvest,thriller,5.5,21.0,
The Dealer,thriller,7.2,15.0,120.0
Mindwash,thriller,4.8,108.0,85.0
The Hostage,thriller,4.2,31.0,87.0
Cold Blows the Wind,thriller,5.5,819.0,85.0
Matinee,thriller,7.4,890.0,133.0
Daft State,thriller,5.3,86.0,
Maranam,thriller,7.6,1576.0,
The Last Breath,thriller,4.7,2934.0,96.0
Blink Twice,thriller,6.5,122476.0,102.0
Night Games,thriller,5.6,292.0,99.0
In the Name of Blood,thriller,6.2,211.0,108.0
The Manifestation,thriller,3.3,219.0,84.0
Dominique,thriller,5.3,2697.0,100.0
Shelby Oaks,thriller,5.4,9318.0,91.0
Argylle,thriller,5.6,97791.0,139.0
Waltz,thriller,6.7,51.0,
The Girl with the Fork,thriller,3.4,204.0,94.0
Retrospect,thriller,6.2,19.0,
He Ain't Heavy,thriller,6.0,421.0,102.0
Pigment,thriller,4.8,21.0,92.0
Sunray: Fallen Soldier,thriller,4.4,860.0,115.0
Loss of Essence,thriller,7.1,24.0,
Am Fear Liath,thriller,5.3,43.0,
Queen of Bones,thriller,4.7,979.0,90.0
The Monster Beneath Us,thriller,4.9,535.0,103.0
5lbs of Pressure,thriller,5.3,1923.0,111.0
Despatch,thriller,4.4,5121.0,153.0
El salto,thriller,5.7,182.0,96.0
105 Minutes,thriller,3.1,2264.0,120.0
The Notorious Finster,thriller,3.9,195.0,113.0
Segredos,thriller,5.5,27.0,120.0
The Beekeeper,thriller,6.3,173892.0,105.0
Alone,thriller,6.9,19.0,88.0
ClearMind,thriller,4.1,2276.0,85.0
Happily Married,thriller,6.8,1565.0,90.0
Martin,thriller,2.2,36468.0,147.0
Jacob Tyler,thriller,4.1,75.0,133.0
Remote,thriller,7.2,37.0,73.0
Vasco Da Gama,thriller,6.0,5966.0,125.0
Bagheera,thriller,6.7,8587.0,158.0
Samhain,thriller,7.1,9.0,
Merry Christmas,thriller,6.9,30371.0,144.0
Night Curfew,thriller,8.6,9.0,
Simp,thriller,3.8,453.0,100.0
Visfot,thriller,5.7,1254.0,130.0
Pierce,thriller,6.4,180.0,109.0
O2,thriller,6.7,8541.0,105.0
Thrayam,thriller,4.2,98.0,114.0
The Shameless,thriller,5.9,378.0,114.0
You Can't Run Forever,thriller,4.5,4668.0,102.0
Ooru Peru Bhairavakona,thriller,5.7,1805.0,133.0
Maldoror,thriller,6.6,1702.0,155.0
Raavsaheb,thriller,8.4,14.0,138.0
History of Evil,thriller,3.4,855.0,98.0
The Goat,thriller,5.6,401.0,91.0
The Defender,thriller,4.4,54.0,101.0
The Whip,thriller,6.5,82.0,82.0
Beline,thriller,5.4,1083.0,88.0
Amityville Bigfoot,thriller,3.0,168.0,88.0
Demise,thriller,4.2,352.0,116.0
Grey Games,thriller,8.6,743.0,121.0
Tenant,thriller,3.0,218.0,99.0
Die Before You Die,thriller,7.0,72.0,104.0
Remnant,thriller,2.6,367.0,112.0
Marigold,thriller,8.4,72.0,127.0
Big/Bad/Wolf,thriller,4.2,17.0,
Highway 905,thriller,7.5,22.0,86.0
"Aire, Just Breathe",thriller,4.7,227.0,98.0
Rudrakshapuram 3KM,thriller,8.9,2042.0,116.0
Run Baby Run,thriller,4.3,54.0,98.0
Kishkindha Kaandam,thriller,8.0,15285.0,133.0
Firecracker,thriller,4.5,1030.0,107.0
Jugalbandhi,thriller,9.2,147.0,
I Curse This Land,thriller,4.2,178.0,86.0
Aham Reboot,thriller,6.1,1198.0,91.0
Under the Influencer,thriller,5.9,85.0,103.0
Yodha,thriller,5.7,9195.0,130.0
Inti Number 13,thriller,7.8,1069.0,127.0
Dead Talk Tales: Volume I,thriller,6.5,28.0,98.0
Warning 2,thriller,7.1,932.0,125.0
Bad Fish,thriller,3.4,403.0,84.0
Humane,thriller,5.5,8991.0,93.0
Crypto Shadows,thriller,4.0,111.0,80.0
Red Night at Skye's,thriller,5.9,30.0,82.0
Krzyk: Losing Control,thriller,4.9,55.0,80.0
Road to Terzetto,thriller,7.5,138.0,96.0
What Happened to Suzy,thriller,6.1,121.0,94.0
Immortal Thieves: The Bloody Heist,thriller,7.0,40.0,
Lights Out,thriller,4.9,1959.0,90.0
The Path of Totality,thriller,5.1,54.0,83.0
Transient,thriller,6.5,467.0,96.0
Oneness,thriller,9.3,22.0,115.0
Barron's Cove,thriller,6.0,1274.0,116.0
Yaa Devi Sarva Bhuteshu,thriller,8.7,9.0,119.0
M30 OXY,thriller,8.7,19.0,
Agent Jayne,thriller,6.7,262.0,
Night Call,thriller,6.7,3441.0,97.0
Jamalinte Punjiri,thriller,8.6,173.0,138.0
A Savior Red,thriller,4.3,289.0,87.0
Ellige Payana Yavudo Daari,thriller,7.2,271.0,134.0
Appudo Ippudo Eppudo,thriller,4.7,259.0,120.0
White Rose,thriller,4.3,479.0,117.0
The Alien Report,thriller,4.6,163.0,81.0
Dead Talents Society,thriller,7.0,3594.0,111.0
In Vitro,thriller,5.5,668.0,89.0
Blood Dried Hands,thriller,5.1,211.0,115.0
Civil War,thriller,7.0,259444.0,109.0
Bosco,thriller,5.4,4055.0,99.0
A Nanny's Revenge,thriller,4.1,183.0,90.0
Rich Flu,thriller,5.0,7402.0,116.0
Bad Genius,thriller,6.3,3159.0,96.0
Kanmani Pappa,thriller,6.2,26.0,130.0
Darkest Miriam,thriller,5.7,476.0,87.0
The Death That Awaits,thriller,5.4,1267.0,102.0
Dying to Be Famous,thriller,4.3,149.0,85.0
Forgive Me Father,thriller,3.4,135.0,77.0
Spithood,thriller,5.1,1217.0,58.0
Wake,thriller,3.4,322.0,85.0
The Smile Man,thriller,7.0,2470.0,122.0
An Unkept Secret,thriller,3.8,15.0,
Hindsight 2020,thriller,7.5,28.0,109.0
Alien: Romulus,thriller,7.1,276623.0,119.0
Laws of Man,thriller,4.6,1564.0,98.0
Panic,thriller,2.8,26.0,
Dark Feathers: Dance of the Geisha,thriller,6.2,1288.0,93.0
Fire of Love: RED,thriller,3.3,9.0,130.0
Crossword,thriller,7.2,25.0,96.0
13th Summer,thriller,4.4,226.0,96.0
Irani Chai,thriller,8.4,15.0,120.0
1134,thriller,6.5,1267.0,103.0
The Deserving,thriller,6.9,92.0,
Customs Frontline,thriller,5.5,606.0,115.0
Mephisto,thriller,5.1,67.0,108.0
Drenched in Blood,thriller,5.5,16.0,108.0
Murder at Hollow Creek,thriller,3.9,121.0,
Red Right Hand,thriller,5.5,6561.0,111.0
Stranger in the Woods,thriller,3.6,1498.0,82.0
Drive-Away Dolls,thriller,5.4,27211.0,84.0
Abhirami,thriller,7.6,8.0,107.0
The Wrath of God,thriller,7.1,67.0,111.0
Tariq,thriller,6.1,21.0,122.0
Kaya Palat,thriller,9.2,553.0,
Three,thriller,6.2,199.0,93.0
The Burden of Guilt,thriller,8.6,20.0,101.0
Carsick,thriller,5.1,50.0,
Black Heat,thriller,7.4,192.0,93.0
Homeboy,thriller,6.5,24.0,
Hundswut,thriller,5.7,118.0,124.0
Phantoms,thriller,3.0,34.0,
The Gimp and the Hitman,thriller,7.3,13.0,
Routa,thriller,6.4,37.0,127.0
Gin Ke Dus,thriller,7.2,63.0,115.0
Ebony Hustle 2: Ballistic Protection,thriller,3.2,47.0,95.0
Jaspal,thriller,7.0,36.0,106.0
Ulajh,thriller,6.0,25532.0,150.0
Land of Bad,thriller,6.6,56720.0,113.0
Blink,thriller,6.9,1696.0,136.0
Purgatory Station,thriller,3.4,71.0,109.0
American Star,thriller,5.5,2725.0,107.0
1 Million Followers,thriller,4.5,961.0,101.0
Canary Black,thriller,5.4,13492.0,101.0
Sting,thriller,5.7,18661.0,91.0
Useful Idiots,thriller,7.8,21.0,92.0
God's Not Here II: Trials & Tribulations,thriller,6.3,13.0,
Kiss of the Con Queen,thriller,7.5,36.0,117.0
Greedy People,thriller,6.2,14429.0,112.0
Magpie,thriller,6.2,4627.0,90.0
Conclave,thriller,7.4,246023.0,120.0
Frankenstein: Legacy,thriller,3.5,238.0,101.0
Force of Nature,thriller,5.9,9161.0,120.0
Twilight of the Warriors: Walled In,thriller,6.9,11555.0,126.0
Bitter Gold,thriller,7.2,124.0,83.0
Séance,thriller,8.1,35.0,85.0
Lioness,thriller,6.8,300.0,104.0
Leha,thriller,2.3,46.0,98.0
The Book of the Witch,thriller,4.3,175.0,73.0
Cheat,thriller,4.2,249.0,105.0
Pins & Needles,thriller,5.1,146.0,95.0
A Christmas Gamble,thriller,7.5,36.0,
Nico,thriller,8.0,54.0,109.0
Night Shoot,thriller,4.2,131.0,98.0
Huntress,thriller,3.0,97.0,77.0
Sharkers,thriller,3.9,182.0,88.0
Grassland,thriller,5.1,159.0,88.0
