movie_name,genre,rating,votes,duration_minutes
On Moral Grounds,war,8.4,8.0,74.0
Before Dawn,war,5.4,1321.0,101.0
Blood Vendetta,war,7.3,279.0,90.0
Scars,war,7.8,29.0,74.0
"America, Invaded",war,7.1,25.0,82.0
Aserb: The Squadron,war,5.2,379.0,120.0
The Shamrock Spitfire,war,5.1,574.0,108.0
"Love, Courage and the Battle of Bushy Run",war,5.1,224.0,113.0
Civil War,war,7.0,259444.0,109.0
Without Blood,war,5.5,248.0,91.0
The Wrath of God,war,7.1,67.0,111.0
Fortunes of War,war,3.4,203.0,85.0
WWII: Operation Phoenix,war,3.9,134.0,106.0
War Blade,war,3.9,265.0,94.0
Huntress,war,3.0,97.0,77.0
Invasion,war,4.8,830.0,91.0
Never Alone,war,6.9,628.0,85.0
The Fourth Wall,war,6.2,262.0,116.0
My Dead Friend Zoe,war,6.5,3710.0,103.0
In the Fire of War,war,6.4,387.0,115.0
Two Sisters,war,5.7,69.0,92.0
Nr. 24,war,7.5,18895.0,111.0
Operation Star,war,7.8,25.0,102.0
The Six Triple Eight,war,6.7,30693.0,127.0
The Daughter,war,9.3,194.0,97.0
The Dugout,war,5.4,785.0,114.0
White Courage,war,6.4,721.0,115.0
"Arlempdes, la légende du premier château de la Loire",war,6.8,14.0,121.0
The Partisan,war,5.2,432.0,108.0
Red Poppies,war,4.7,389.0,122.0
Burning Stars,war,6.6,50.0,84.0
Escape from Germany,war,5.5,1264.0,97.0
The Liberation Men,war,6.4,98.0,90.0
Pozyvnoy «Passazhir»,war,4.6,251.0,101.0
The Black Notes,war,6.7,62.0,96.0
The Friendly,war,8.9,48.0,101.0
Hengyang 1944,war,6.6,29.0,
Murder Company,war,3.7,1756.0,86.0
The Deserter,war,7.3,85.0,93.0
"Canadian, Sniper",war,3.3,402.0,83.0
Porcelain War,war,7.1,1404.0,87.0
People,war,6.3,73.0,117.0
Bardejov,war,4.9,201.0,85.0
Call of Duty,war,7.8,19.0,
Majnoon,war,6.5,85.0,
Way Home,war,6.4,1845.0,98.0
A Bit of a Stranger,war,7.2,51.0,90.0
Intercepted,war,7.9,673.0,95.0
The Mousetrap,war,7.0,36.0,87.0
Life Train,war,6.8,46.0,90.0
Air War,war,6.4,132.0,106.0
The West Sky,war,5.2,168.0,
Eddy's oorlog,war,7.9,49.0,101.0
The Yin Yang Master Zero,war,5.7,333.0,112.0
Battlefield,war,6.1,785.0,104.0
The Other Side,war,5.8,303.0,97.0
"Peach, Pho and Piano",war,5.5,234.0,100.0
Klitschko: More Than a Fight,war,6.3,530.0,96.0
"Us, Our Pets and the War",war,8.5,503.0,79.0
Decoded,war,5.7,532.0,156.0
Haywire: Gunslingers,war,2.8,40.0,85.0
Krigsvarsleren,war,7.7,9.0,55.0
The Invasion,war,6.7,141.0,145.0
Dharmarakshak Mahaveer Chhatrapati Sambhaji Maharaj,war,8.1,698.0,174.0
Kara Kyz,war,4.6,30.0,111.0
Krasnye lenty,war,5.3,22.0,62.0
The Battle for Kyiv,war,7.8,51.0,
October 7 - Al Jazeera Investigations,war,5.9,88.0,60.0
Dosije Kosovo - Pogrom,war,7.6,6.0,109.0
We Were Recruits,war,6.9,265.0,92.0
Village of Death: Oradour-sur-Glane 1944,war,7.8,20.0,58.0
Burgemeestersmoord,war,6.5,98.0,114.0
The Volunteers: The Battle of Life and Death,war,6.0,387.0,144.0
Don't Let's Go to the Dogs Tonight,war,6.9,891.0,99.0
Russians at War,war,3.0,1195.0,134.0
Songs of Slow Burning Earth,war,7.6,336.0,95.0
Churchill's Forgotten War,war,7.3,22.0,47.0
Roots,war,7.3,168.0,137.0
Kargil 1999- The Untold Story of the Indian Air Force,war,8.3,27.0,
Los indomables,war,6.7,19.0,106.0
Jewish Revenge 6: Gaza in Focus,war,6.1,29.0,70.0
Lift Force,war,8.5,80.0,87.0
Da Vinci,war,8.3,101.0,81.0
24 Hours to D-Day,war,2.6,209.0,83.0
Big Break,war,3.0,6.0,110.0
"Gaza, since October 7",war,5.3,15.0,94.0
Drava se ne predaje,war,6.6,22.0,76.0
"Por ti, Portugal, eu juro!",war,8.2,9.0,98.0
Vremya vernutsya,war,6.0,26.0,100.0
Renverse,war,6.8,6.0,127.0
The Dakota War: Attack on Fort Ridgely,war,4.0,9.0,80.0
Anzac.Lemnos.1915.,war,7.7,7.0,51.0
Life and Death in Gaza,war,8.0,16.0,88.0
Eyes of Gaza,war,7.4,31.0,50.0
Red Shadow Over the White House,war,5.3,14.0,55.0
The Ministry of Ungentlemanly Warfare,war,6.8,151796.0,122.0
