movie_name,genre,rating,votes,duration_minutes
Outlaw Posse,western,4.2,590.0,108.0
Rust,western,5.7,4341.0,139.0
Same Old West,western,7.5,682.0,98.0
On a Dark and Bloody Ground,western,8.5,8.0,
In Search of Bass Reeves,western,6.0,97.0,105.0
Paradise,western,6.6,93.0,83.0
Last Flamingo of the Red Summer Sunset,western,8.5,14.0,80.0
Horizon: An American Saga - Chapter 1,western,6.6,43989.0,181.0
Gold Lust,western,5.6,113.0,102.0
Was Once a Hero,western,8.2,88.0,
Taken from Rio Bravo,western,3.1,366.0,80.0
Bitter Gold,western,7.2,124.0,83.0
Coyote Woman,western,2.0,81.0,110.0
Unnatural,western,3.5,162.0,103.0
Astral Plane Drifter,western,8.6,44.0,
Harsh Treatment,western,7.2,74.0,112.0
The Night They Came Home,western,3.6,490.0,105.0
Bo Nan Za,western,8.9,30.0,61.0
El Vaquero,western,8.3,16.0,93.0
The Guardsmen,western,3.5,210.0,73.0
The Guardsmen: Part 2,western,6.0,90.0,
The Guardsmen: Part 3,western,5.2,89.0,
Black Creek,western,4.3,450.0,116.0
Buried on Shine Mountain,western,8.1,21.0,
Horizon: An American Saga - Chapter 2,western,7.1,1647.0,190.0
Over the Red River,western,3.7,126.0,83.0
Bolero,western,2.9,35.0,
Adiós al amigo,western,8.0,85.0,118.0
Calamity Jane,western,4.4,835.0,95.0
Mr. Pettigrew,western,4.0,7.0,
Searching for the Elephant,western,5.8,38.0,116.0
Death After Dusk,western,5.6,97.0,140.0
Joe Crist,western,4.0,523.0,53.0
Doc Holliday 2,western,6.7,16.0,
Doc Holliday 3,western,6.1,14.0,
Eye for an Eye 2,western,6.6,689.0,90.0
Ghosts of Red Ridge,western,3.2,194.0,81.0
The Ecstasy of Gold: The Treasure of Jesse James,western,5.8,23.0,90.0
Lady Outlaw,western,6.3,32.0,104.0
Hinter dem Eisernen Horizont,western,7.1,20.0,88.0
Guns Blazin,western,6.0,13.0,88.0
The Dakota War: Attack on Fort Ridgely,western,4.0,9.0,80.0
Oltre il confine,western,5.4,13.0,76.0
The Thicket,western,5.9,5359.0,105.0
